taxon_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma cingulatum,Ambystoma,,cingulatum,,Cope,1868,,Frosted Flatwoods Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma gracile,Ambystoma,,gracile,,Baird,1859,,Northwestern Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma jeffersonianum,Ambystoma,,jeffersonianum,,Green,1827,,Jefferson Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma laterale,Ambystoma,,laterale,,Hallowell,1856,,Blue-spotted Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mabeei,Ambystoma,,mabeei,,Bishop,1928,,Mabee's Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum,Ambystoma,,macrodactylum,,Baird,1849,,Long-toed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum columbianum,Ambystoma,,macrodactylum,columbianum,Ferguson,1961,,Eastern Long-toed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum croceum,Ambystoma,,macrodactylum,croceum,Russell and Anderson,1956,,Santa Cruz Long-toed
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum krausei,Ambystoma,,macrodactylum,krausei,Peters,1882,,Northern Long-toed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum macrodactylum,Ambystoma,,macrodactylum,macrodactylum,Baird,1849,,Western Long-toed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum sigillatum,Ambystoma,,macrodactylum,sigillatum,Ferguson,1961,,Southern Long-toed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma maculatum,Ambystoma,,maculatum,,Shaw,1802,,Spotted Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium,Ambystoma,,mavortium,,Baird,1850,,Barred Tiger Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium diaboli,Ambystoma,,mavortium,diaboli,Dunn,1940,,Gray Tiger Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium mavortium,Ambystoma,,mavortium,mavortium,Baird,1850,,Barred Tiger Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium melanostictum,Ambystoma,,mavortium,melanostictum,Baird,1860,,Blotched Tiger Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium nebulosum,Ambystoma,,mavortium,nebulosum,Hallowell,1852,,Arizona Tiger Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium stebbinsi,Ambystoma,,mavortium,stebbinsi,Lowe,1954,,Sonoran Tiger Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma opacum,Ambystoma,,opacum,,Gravenhorst,1807,,Marbled Salamander
herps,,Ambystoma sp.,Ambystoma,,sp.,,,,,
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma talpoideum,Ambystoma,,talpoideum,,Holbrook,1838,,Mole Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma texanum,Ambystoma,,texanum,,Matthes,1855,,Small-mouthed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma tigrinum,Ambystoma,,tigrinum,,Green,1825,,Eastern Tiger Salamander
herps,,Ambystoma tigrinum mavortium,Ambystoma,,tigrinum,mavortium,,,,Tiger Salamander
herps,,Ambystoma tigrinum tigrinum,Ambystoma,,tigrinum,tigrinum,,,,Eastern tiger salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ameiva ameiva,Ameiva,,ameiva,,Linnaeus,1758,,Giant Ameiva
herps,,Ameiva exsul,Ameiva,,exsul,,,,,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul alboguttata,Ameiva,,exsul,alboguttata,Boulenger,1896,Puerto Rican Ground Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul desechensis,Ameiva,,exsul,desechensis,Heatwole and Torres,1967,Puerto Rican Ground Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul exsul,Ameiva,,exsul,exsul,Cope,1863,Puerto Rican Ground Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva wetmorei,Ameiva,,wetmorei,,Stejneger,1913,Blue-Tailed Ground Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena bakeri,Amphisbaena,,bakeri,,Stejneger,1904,Baker's Worm Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena caeca,Amphisbaena,,caeca,,Cuvier,1829,Puerto Rican Worm Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena schmidti,Amphisbaena,,schmidti,,Gans,1964,Schmidt's Worm Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena xera,Amphisbaena,,xera,,Thomas,1966,Puerto Rican Dryland Worm Lizard,
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Amphiuma means,Amphiuma,,means,,Garden,1821,,Two-toed Amphiuma
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Amphiuma pholeter,Amphiuma,,pholeter,,Neill,1964,,One-toed Amphiuma
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Amphiuma tridactylum,Amphiuma,,tridactylum,,Cuvier,1827,,Three-toed Amphiuma
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus americanus,Anaxyrus,,americanus,,Holbrook,1836,,American Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus americanus americanus,Anaxyrus,,americanus,americanus,Holbrook,1836,,Eastern American Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus americanus charlesmithi,Anaxyrus,,americanus,charlesmithi,Bragg,1954,,Dwarf American Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus baxteri,Anaxyrus,,baxteri,,Porter,1968,,Wyoming Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus boreas,Anaxyrus,,boreas,,Baird and Girard,1852,,Western Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus boreas boreas,Anaxyrus,,boreas,boreas,Baird and Girard,1852,,Boreal Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus boreas halophilus,Anaxyrus,,boreas,halophilus,Baird and Girard,1853,,Southern California Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus californicus,Anaxyrus,,californicus,,Camp,1915,,Arroyo Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus canorus,Anaxyrus,,canorus,,Camp,1916,,Yosemite Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus cognatus,Anaxyrus,,cognatus,,Say,1823,,Great Plains Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus debilis,Anaxyrus,,debilis,,Girard,1854,,Green Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus debilis debilis,Anaxyrus,,debilis,debilis,Girard,1854,,Eastern Green Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus debilis insidior,Anaxyrus,,debilis,insidior,Girard,1854,,Western Green Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus exsul,Anaxyrus,,exsul,,Myers,1942,,Black Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus fowleri,Anaxyrus,,fowleri,,Hinckley,1882,,Fowler's Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus hemiophrys,Anaxyrus,,hemiophrys,,Cope,1886,,Canadian Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus houstonensis,Anaxyrus,,houstonensis,,Sanders,1953,,Houston Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus microscaphus,Anaxyrus,,microscaphus,,Cope,1866,,Arizona Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus nelsoni,Anaxyrus,,nelsoni,,Stejneger,1893,,Amargosa Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus punctatus,Anaxyrus,,punctatus,,Baird and Girard,1852,,Red-spotted Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus quercicus,Anaxyrus,,quercicus,,Holbrook,1840,,Oak Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus retiformis,Anaxyrus,,retiformis,,Sanders and Smith,1951,,Sonoran Green Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus speciosus,Anaxyrus,,speciosus,,Girard,1854,,Texas Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus terrestris,Anaxyrus,,terrestris,,Bonnaterre,1789,,Southern Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus woodhousii,Anaxyrus,,woodhousii,,Girard,1854,,Woodhouse's Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus woodhousii australis,Anaxyrus,,woodhousii,australis,Shannon and Lowe,1955,,Southwestern
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus woodhousii woodhousii,Anaxyrus,,woodhousii,woodhousii,Girard,1854,,Rocky Mountain Toad
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides aeneus,Aneides,,aeneus,,Cope and Packard,1881,,Green Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides ferreus,Aneides,,ferreus,,Cope,1869,,Clouded Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides flavipunctatus,Aneides,,flavipunctatus,,Strauch,1870,,Black Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides flavipunctatus flavipunctatus,Aneides,,flavipunctatus,flavipunctatus,Strauch,1870,,Speckled Black Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides flavipunctatus niger,Aneides,,flavipunctatus,niger,Myers and Maslin,1948,,Santa Cruz Black Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides hardii,Aneides,,hardii,,Taylor,1941,,Sacramento Mountains Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides lugubris,Aneides,,lugubris,,Hallowell,1849,,Arboreal Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides vagrans,Aneides,,vagrans,,Wake and Jackman,1999,,Wandering Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anniella pulchra,Anniella,,pulchra,,Gray,1852,,California Legless Lizard
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis carolinensis,Anolis,,carolinensis,,Voigt,1832,,Green Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis carolinensis carolinensis,Anolis,,carolinensis,carolinensis,Voigt,1832,,Northern Green Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis carolinensis seminolus,Anolis,,carolinensis,seminolus,Vance,1991,,Southern Green Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis chlorocyanus,Anolis,,chlorocyanus,,Dumeril and Bibron,1837,,Hispaniolan Green Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis chlorocyanus cristatellus,Anolis,,chlorocyanus,cristatellus,Dumeril and Bibron,1837,,Puerto Rican Crested Anole
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cooki,Anolis,,cooki,,Grant,1931,Cook's Anole,
herps,,Anolis cristatellus,Anolis,,cristatellus,,,,,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cristatellus cristatellus,Anolis,,cristatellus,cristatellus,Dumeril and Bibron,1837,Puerto Rican Crested Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cristatellus wileyae,Anolis,,cristatellus,wileyae,Grant,1931,Eastern Puerto Rican Crested Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cuvieri,Anolis,,cuvieri,,Merrem,1820,Puerto Rican Giant Anole,
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis cybotes,Anolis,,cybotes,,Cope,1862,,Large-headed Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis cybotes cybotes,Anolis,,cybotes,cybotes,Cope,1862,,Common Large-headed Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis equestris,Anolis,,equestris,,Merrem,1820,,Knight Anole
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis equestris equestris,Anolis,,equestris,equestris,Merrem,1820,,Western Knight Anole
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis evermanni,Anolis,,evermanni,,Stejneger,1904,Emerald Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis gundlachi,Anolis,,gundlachi,,Peters,1876,Yellow-bearded Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis krugi,Anolis,,krugi,,Peters,1877,Upland Grass Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis monensis,Anolis,,monensis,,Stejneger,1904,Mona Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis occultus,Anolis,,occultus,,Williams and Rivero,1965,Dwarf Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis poncensis,Anolis,,poncensis,,Stejneger,1904,Dryland Grass Anole,
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis porcatus,Anolis,,porcatus,,Gray,1840,,Cuban Green Anole
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis pulchellus,Anolis,,pulchellus,,Dumeril and Bibron,1837,Sharp-mouthed Lizard,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis roosevelti,Anolis,,roosevelti,,Grant,1931,Culebra Island Giant Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis sagrei,Anolis,,sagrei,,Dumeril and Bibron,1837,Brown Anole,
herps,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis stratulus,Anolis,,stratulus,,Cope,1861,Spotted Anole,
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Apalone ferox,Apalone,,ferox,,Schneider,1783,,Florida Softshell
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Apalone mutica,Apalone,,mutica,,Lesueur,1827,,Smooth Softshell
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Apalone mutica calvata,Apalone,,mutica,calvata,Webb,1959,,Gulf Coast Smooth Softshell
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Apalone mutica mutica,Apalone,,mutica,mutica,Lesueur,1827,,Midland Smooth Softshell
herps,,Apalone s. spinifera,Apalone,,s.,spinifera,,,,Eastern Spiny Softshelled Turtle
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Apalone spinifera,Apalone,,spinifera,,Lesueur,1827,,Spiny Softshell
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Apalone spinifera aspera,Apalone,,spinifera,aspera,Agassiz,1857,,Gulf Coast Spiny Softshell
