site,genus,sp,subsp,common_name,source
OSBY,Onthophilus,giganteus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Onthophilus,nodatus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Phelister,mobilensis,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ptomaphagus,consobrinus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ptomaphagus,schwarzi,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Lucidota,luteicollis,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Callops,subtropicus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Condylops,obrieni,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Nodopus,caviceps,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,bicolor,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,campestris,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,crassulus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,dyspistus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,fimetarius,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,laevigatus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
