taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
LETR,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,trimucronatus,,Lemmus trimucronatus,species,target,Wilson&Reeder2005
LESP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,sp.,,Lemmus sp.,genus,target,Wilson&Reeder2005
LEAL,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,alleni,,Lepus alleni,species,non-target,Wilson&Reeder2005
LEAM,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,,Lepus americanus,species,non-target,Wilson&Reeder2005
LECA,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,,Lepus californicus,species,non-target,Wilson&Reeder2005
LETO,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,townsendii,,Lepus townsendii,species,non-target,Wilson&Reeder2005
LPSP,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,sp.,,Lepus sp.,genus,non-target,Wilson&Reeder2005
MIME,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Microdipodops,megacephalus,,Microdipodops megacephalus,species,opportunistic,Wilson&Reeder2005
MICA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,,Microtus californicus,species,target,Wilson&Reeder2005
MICC,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,canicaudus,,Microtus canicaudus,species,target,Wilson&Reeder2005
MICH,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,chrotorrhinus,,Microtus chrotorrhinus,species,target,Wilson&Reeder2005
MILO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,longicaudus,,Microtus longicaudus,species,target,Wilson&Reeder2005
MIMI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,miurus,,Microtus miurus,species,target,Wilson&Reeder2005
MIMG,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,mogollonensis,,Microtus mogollonensis,species,target,Wilson&Reeder2005
MIMO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,montanus,,Microtus montanus,species,target,Wilson&Reeder2005
MIOC,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,ochrogaster,,Microtus ochrogaster,species,target,Wilson&Reeder2005
MIOE,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,oeconomus,,Microtus oeconomus,species,target,Wilson&Reeder2005
MIOR,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,oregoni,,Microtus oregoni,species,target,Wilson&Reeder2005
MIPE,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pennsylvanicus,,Microtus pennsylvanicus,species,target,Wilson&Reeder2005
MIPI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pinetorum,,Microtus pinetorum,species,target,Wilson&Reeder2005
MIRI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,richardsoni,,Microtus richardsoni,species,target,Wilson&Reeder2005
MITO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,townsendii,,Microtus townsendii,species,target,Wilson&Reeder2005
MIXA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,xanthognathus,,Microtus xanthognathus,species,target,Wilson&Reeder2005
MISP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,sp.,,Microtus sp.,genus,target,Wilson&Reeder2005
MUMU,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,musculus,,Mus musculus,species,target,Wilson&Reeder2005
MUER,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,Mustela erminea,species,non-target,Wilson&Reeder2005
