taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
SYFL,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,,Sylvilagus floridanus,species,non-target,Wilson&Reeder2005
SYNU,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,nuttallii,,Sylvilagus nuttallii,species,non-target,Wilson&Reeder2005
SYOB,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,obscurus,,Sylvilagus obscurus,species,non-target,Wilson&Reeder2005
SYPA,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,,Sylvilagus palustris,species,non-target,Wilson&Reeder2005
SYTR,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,transitionalis,,Sylvilagus transitionalis,species,non-target,Wilson&Reeder2005
SLSP,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,sp.,,Sylvilagus sp.,genus,non-target,Wilson&Reeder2005
SYBO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,borealis,,Synaptomys borealis,species,target,Wilson&Reeder2005
SYCO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,cooperi,,Synaptomys cooperi,species,target,Wilson&Reeder2005
SYSP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,sp.,,Synaptomys sp.,genus,target,Wilson&Reeder2005
TAAM,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,amoenus,,Tamias amoenus,species,opportunistic,Wilson&Reeder2005
TACI,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,cinereicollis,,Tamias cinereicollis,species,opportunistic,Wilson&Reeder2005
TADO,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,dorsalis,,Tamias dorsalis,species,opportunistic,Wilson&Reeder2005
TAME,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,merriami,,Tamias merriami,species,opportunistic,Wilson&Reeder2005
TAMI,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,minimus,,Tamias minimus,species,opportunistic,Wilson&Reeder2005
TAQU,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,quadrivittatus,,Tamias quadrivittatus,species,opportunistic,Wilson&Reeder2005
TARU,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,rufus,,Tamias rufus,species,opportunistic,Wilson&Reeder2005
TASP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,speciosus,,Tamias speciosus,species,opportunistic,Wilson&Reeder2005
TAST,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,striatus,,Tamias striatus,species,opportunistic,Wilson&Reeder2005
TATO,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,townsendii,,Tamias townsendii,species,opportunistic,Wilson&Reeder2005
TAUM,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,umbrinus,,Tamias umbrinus,species,opportunistic,Wilson&Reeder2005
TMSP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp.,,Tamias sp.,genus,opportunistic,Wilson&Reeder2005
TSDO,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,douglasii,,Tamiasciurus douglasii,species,opportunistic,Wilson&Reeder2005
TAHU,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,,Tamiasciurus hudsonicus,species,opportunistic,Wilson&Reeder2005
TSSP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,sp.,,Tamiasciurus sp.,genus,opportunistic,Wilson&Reeder2005
THBO,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,bottae,,Thomomys bottae,species,non-target,Wilson&Reeder2005
THID,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,idahoensis,,Thomomys idahoensis,species,non-target,Wilson&Reeder2005
THTA,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides,,Thomomys talpoides,species,non-target,Wilson&Reeder2005
THUM,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,umbrinus,,Thomomys umbrinus,species,non-target,Wilson&Reeder2005
THSP,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,sp.,,Thomomys sp.,genus,non-target,Wilson&Reeder2005
ZAHU,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,hudsonius,,Zapus hudsonius,species,target,Wilson&Reeder2005
ZAHP,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,hudsonius,preblei,Zapus hudsonius preblei,subspecies,non-target,Wilson&Reeder2005
ZAPR,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,princeps,,Zapus princeps,species,target,Wilson&Reeder2005
ZATR,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,trinotatus,,Zapus trinotatus,species,target,Wilson&Reeder2005
ZASP,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,sp.,,Zapus sp.,genus,target,Wilson&Reeder2005
