Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D13,lebana,Lebia analis,,Bousquet 2012,
D13,lebatr1,Lebia atriceps,,Bousquet 2012,
D13,lebatr2,Lebia atriventris,,Bousquet 2012,
D13,lebbiv,Lebia bivittata,,Bousquet 2012,
D13,lebcol,Lebia collaris,,Bousquet 2012,
D13,lebcya,Lebia cyanipennis,,Bousquet 2012,
D13,lebdiv,Lebia divisa,,Bousquet 2012,
D13,lebfus,Lebia fuscata,,Bousquet 2012,
D13,lebgra,Lebia grandis,,Bousquet 2012,
D13,lebgut,Lebia guttula,,Bousquet 2012,
D13,leblob,Lebia lobulata,,Bousquet 2012,
D13,lebmar,Lebia marginicollis,,Bousquet 2012,
D13,lebmoe,Lebia moesta,,Bousquet 2012,
D13,lebnig,Lebia nigricapitata,,Bousquet 2012,
D13,leborn,Lebia ornata,,Bousquet 2012,
D13,lebpec,Lebia pectita,,Bousquet 2012,
D13,lebpul,Lebia pulchella,,Bousquet 2012,
D13,lebpum,Lebia pumila,,Bousquet 2012,
D13,lebsol,Lebia solea,,Bousquet 2012,
D13,lebtuc,Lebia tuckeri,,Bousquet 2012,
D13,lebvir1,Lebia viridipennis,,Bousquet 2012,
D13,lebvir2,Lebia viridis,,Bousquet 2012,
D13,lebvit,Lebia vittata,,Bousquet 2012,
D13,lepdor,Leptotrachelus dorsalis,,Bousquet 2012,
D13,lioera,Lionepha erasa,,Bousquet 2012,
D13,lophal,Lophoglossus haldemanni,,Bousquet 2012,
D13,loptar,Lophoglossus tartaricus,,Bousquet 2012,
D13,lorpil2,Loricera pilicornis pilicornis,,Bousquet 2012,
D13,loxcel,Loxandrus celer,,Bousquet 2012,
D13,loxcin,Loxandrus cincinnati,,Bousquet 2012,
D13,loxcre,Loxandrus crenatus,,Bousquet 2012,
D13,loxdur,Loxandrus duryi,,Bousquet 2012,
D13,loxrec2,Loxandrus rectus,,Bousquet 2012,
D13,loxsap,Loxandrus saphyrinus,,Bousquet 2012,
D13,micaen,Micratopus aenescens,,Bousquet 2012,
D13,micbre,Microlestes brevilobus brevilobus,,Bousquet 2012,
D13,miccur,Microlestes curtipennis,,Bousquet 2012,
D13,micdis,Micrixys distincta,,Bousquet 2012,
D13,miclin2,Microlestes linearis,,Bousquet 2012,
D13,micnig,Microlestes nigrinus,,Bousquet 2012,
D13,micpus,Microlestes pusio,,Bousquet 2012,
D13,miofla,Mioptachys flavicauda,,Bousquet 2012,
D13,misarc,Miscodera arctica,,Bousquet 2012,
D13,mormon,Morion monilicornis,,Bousquet 2012,
D13,nebark1,Nebria arkansana arkansana,,Bousquet 2012,
D13,nebark3,Nebria arkansana fragilis,,Bousquet 2012,
D13,nebark4,Nebria arkansana oowah,,Bousquet 2012,TRUE
D13,nebcal,Nebria calva,,Bousquet 2012,TRUE
D13,nebcat,Nebria catenata,,Bousquet 2012,
D13,nebcol,Nebria coloradensis,,Bousquet 2012,
D13,nebdes,Nebria desolata,,Bousquet 2012,TRUE
D13,nebgeo,Nebria georgei,,Bousquet 2012,TRUE
D13,nebgyl3,Nebria gyllenhali lindrothi,,Bousquet 2012,
D13,nebhud,Nebria hudsonica,,Bousquet 2012,
D13,nebnav,Nebria navajo,,Bousquet 2012,TRUE
D13,nebobl1,Nebria obliqua chuskae,,Bousquet 2012,TRUE
D13,nebobl2,Nebria obliqua obliqua,,Bousquet 2012,
D13,nebpiu1,Nebria piute piute,,Bousquet 2012,
D13,nebpiu2,Nebria piute sevieri,,Bousquet 2012,
D13,nebpiu3,Nebria piute utahensis,,Bousquet 2012,TRUE
D13,nebpur,Nebria purpurata,,Bousquet 2012,
D13,nebsie,Nebria sierrablancae,,Bousquet 2012,
D13,nebsut,Nebria suturalis,,Bousquet 2012,
D13,nebtri1,Nebria trifaria pasquineli,,Bousquet 2012,
D13,nebtri2,Nebria trifaria trifaria,,Bousquet 2012,
D13,nebzio1,Nebria zioni oasis,,Bousquet 2012,TRUE
D13,nebzio2,Nebria zioni zioni,,Bousquet 2012,TRUE
D13,nemele,Nemotarsus elegans,,Bousquet 2012,
D13,nompyg,Nomius pygmaeus,,Bousquet 2012,
D13,notaqu,Notiophilus aquaticus,,Bousquet 2012,
D13,notdir,Notiophilus directus,,Bousquet 2012,
D13,notmac,Notiobia maculicornis,,Bousquet 2012,
D13,notmex,Notiobia mexicana,,Bousquet 2012,
D13,notnit1,Notiobia nitidipennis,,Bousquet 2012,
D13,notnov,Notiophilus novemstriatus,,Bousquet 2012,
D13,notpur,Notiobia purpurascens,,Bousquet 2012,
D13,notsay,Notiobia sayi,,Bousquet 2012,
D13,notsem1,Notiophilus semiopacus,,Bousquet 2012,
D13,notsem2,Notiophilus semistriatus,,Bousquet 2012,
D13,notsim,Notiophilus simulator,,Bousquet 2012,
D13,notter,Notiobia terminata,,Bousquet 2012,
D13,omoame,Omophron americanum,,Bousquet 2012,
D13,omogil,Omophron gilae,,Bousquet 2012,
D13,omogro,Omophron grossum,,Bousquet 2012,
D13,omolab,Omophron labiatum,,Bousquet 2012,
D13,omonit,Omophron nitidum,,Bousquet 2012,
D13,omoobl,Omophron obliteratum,,Bousquet 2012,
D13,omoova,Omophron ovale,,Bousquet 2012,
D13,omotes,Omophron tessellatum,,Bousquet 2012,
D13,oodama,Oodes amaroides,,Bousquet 2012,
D13,oodbre,Oodes brevis,,Bousquet 2012,
D13,oodflu,Oodes fluvialis,,Bousquet 2012,
D13,opiric,Opisthius richardsoni,,Bousquet 2012,
D13,pancru,Panagaeus cruciger,,Bousquet 2012,
D13,panfas,Panagaeus fasciatus,,Bousquet 2012,
D13,pansal,Panagaeus sallei,,Bousquet 2012,
D13,parbip,Paraclivina bipustulata,,Bousquet 2012,
D13,parfer,Paraclivina ferrea,,Bousquet 2012,
D13,parpos,Paraclivina postica,,Bousquet 2012,
D13,pascal,Pasimachus californicus,,Bousquet 2012,
D13,pasdep,Pasimachus depressus,,Bousquet 2012,
D13,pasdup,Pasimachus duplicatus,,Bousquet 2012,
D13,paselo,Pasimachus elongatus,,Bousquet 2012,
D13,pasmar,Pasimachus marginatus,,Bousquet 2012,
D13,pasobs,Pasimachus obsoletus,,Bousquet 2012,
D13,paspun,Pasimachus punctulatus,,Bousquet 2012,
D13,patfos,Patrobus fossifrons,,Bousquet 2012,
D13,patfov,Patrobus foveocollis,,Bousquet 2012,
D13,patlec,Patrobus lecontei,,Bousquet 2012,
D13,patlon,Patrobus longicornis,,Bousquet 2012,
D13,patsep,Patrobus septentrionis septentrionis,,Bousquet 2012,
D13,penbic,Pentagonica bicolor,,Bousquet 2012,
D13,penfla2,Pentagonica flavipes flavipes,,Bousquet 2012,
D13,penpic,Pentagonica picticornis,,Bousquet 2012,
D13,pereph,Pericompsus ephippiatus,,Bousquet 2012,
D13,perlae,Pericompsus laetulus,,Bousquet 2012,
D13,pernig,Perigona nigriceps,,Bousquet 2012,
D13,phicae,Philophuga caerulea,,Bousquet 2012,
D13,philon,Philodes longulus,,Bousquet 2012,
D13,phirec,Philodes rectangulus,,Bousquet 2012,
D13,phivir1,Philophuga viridicollis,,Bousquet 2012,
D13,phivir2,Philophuga viridis amoena,,Bousquet 2012,
D13,phivir3,Philophuga viridis horni,,Bousquet 2012,
D13,piesub,Piesmus submarginatus,,Bousquet 2012,
D13,pioset,Piosoma setosum,,Bousquet 2012,
D13,plabru,Platynus brunneomarginatus,,Bousquet 2012,
D13,placin,Platynus cincticollis,,Bousquet 2012,
D13,pladec,Platynus decentis,,Bousquet 2012,
D13,pladec,Platynus decentis,,Bousquet 2012,
D13,plalyr,Platynus lyratus,,Bousquet 2012,
D13,plapec,Platynus pecki,,Bousquet 2012,
D13,platen,Platynus tenuicollis,,Bousquet 2012,
D13,plotim,Plochionus timidus,,Bousquet 2012,
D13,poecha,Poecilus chalcites,,Bousquet 2012,
D13,poecol,Poecilus coloradensis,,Bousquet 2012,TRUE
D13,poecor,Poecilus corvus,,Bousquet 2012,
D13,poecya,Poecilus cyanicolor,,Bousquet 2012,
D13,poedip,Poecilus diplophryus,,Bousquet 2012,
D13,poeluc,Poecilus lucublandus,,Bousquet 2012,
D13,poesci,Poecilus scitulus,,Bousquet 2012,
D13,pogtex,Pogonus texanus,,Bousquet 2012,
D13,polerr,Polpochila erro,,Bousquet 2012,
D13,pollae,Polyderis laeva,,Bousquet 2012,
D13,pseall,Pseudomorpha alleni,,Bousquet 2012,
D13,pseang,Pseudomorpha angustata,,Bousquet 2012,
D13,psecon2,Pseudomorpha consanguinea,,Bousquet 2012,
D13,psedor,Pseudaptinus dorsalis,,Bousquet 2012,
D13,psehor5,Pseudaptinus horni,,Bousquet 2012,
D13,pselec,Pseudaptinus lecontei,,Bousquet 2012,
D13,psepyg,Pseudaptinus pygmaeus,,Bousquet 2012,
D13,pseten4,Pseudaptinus tenuicollis,,Bousquet 2012,
D13,psypic,Psydrus piceus,,Bousquet 2012,
D13,pteads,Pterostichus adstrictus,,Bousquet 2012,
D13,ptebre1,Pterostichus brevicornis brevicornis,,Bousquet 2012,
D13,ptecau,Pterostichus caudicalis,,Bousquet 2012,
D13,ptecom,Pterostichus commutabilis,,Bousquet 2012,
D13,ptecor3,Pterostichus corvinus,,Bousquet 2012,
D13,pteebe,Pterostichus ebeninus,,Bousquet 2012,
D13,pteeno,Pterostichus enodis,,Bousquet 2012,TRUE
D13,ptefal1,Pterostichus fallax,,Bousquet 2012,
D13,ptefem,Pterostichus femoralis,,Bousquet 2012,
D13,pteluc,Pterostichus luctuosus,,Bousquet 2012,
D13,ptelus1,Pterostichus luscus,,Bousquet 2012,TRUE
D13,ptelus2,Pterostichus lustrans,,Bousquet 2012,
D13,ptemel,Pterostichus melanarius melanarius,,Bousquet 2012,
D13,ptemut2,Pterostichus mutus,,Bousquet 2012,
D13,pteper2,Pterostichus permundus,,Bousquet 2012,
D13,ptepra,Pterostichus praetermissus,,Bousquet 2012,
D13,ptepro2,Pterostichus protractus,,Bousquet 2012,
D13,ptepun2,Pterostichus punctiventris,,Bousquet 2012,
D13,pteres,Pterostichus restrictus,,Bousquet 2012,
D13,ptesur,Pterostichus surgens,,Bousquet 2012,
D13,pteten,Pterostichus tenuis,,Bousquet 2012,
D13,ptetum,Pterostichus tumescens,,Bousquet 2012,
D13,pteven1,Pterostichus ventralis,,Bousquet 2012,
D13,rhaant,Rhadine anthicoides,,Bousquet 2012,TRUE
D13,rhadis,Rhadine dissecta,,Bousquet 2012,
D13,rhajej,Rhadine jejuna,,Bousquet 2012,
D13,rhalin,Rhadine lindrothi,,Bousquet 2012,
D13,rhalon3,Rhadine longipes,,Bousquet 2012,TRUE
D13,rhamyr,Rhadine myrmecodes,,Bousquet 2012,
D13,rhaniv,Rhadine nivalis,,Bousquet 2012,
D13,rhasub1,Rhadine sublustris,,Bousquet 2012,
D13,rhates,Rhadine testacea,,Bousquet 2012,TRUE
D13,rhaumb,Rhadine umbra,,Bousquet 2012,TRUE
D13,scaele1,Scaphinotus elevatus coloradensis,,Bousquet 2012,
D13,scakel,Scaphinotus kelloggi,,Bousquet 2012,TRUE
D13,scalis,Scarites lissopterus,,Bousquet 2012,
D13,scamar1,Scaphinotus marginatus,,Bousquet 2012,
D13,scaore,Scaphinotus oreophilus,,Bousquet 2012,
D13,scapet6,Scaphinotus petersi petersi,,Bousquet 2012,
D13,scasno1,Scaphinotus snowi roeschkei,,Bousquet 2012,TRUE
D13,scasno2,Scaphinotus snowi snowi,,Bousquet 2012,
D13,scasub2,Scarites subterraneus,,Bousquet 2012,
D13,scavan,Scaphinotus vandykei,,Bousquet 2012,
D13,scavic,Scarites vicinus,,Bousquet 2012,
D13,schbre,Schizogenius brevisetosus,,Bousquet 2012,
D13,schdep,Schizogenius depressus,,Bousquet 2012,
D13,schfal,Schizogenius falli,,Bousquet 2012,
D13,schfer,Schizogenius ferrugineus,,Bousquet 2012,
D13,schlin2,Schizogenius lineolatus,,Bousquet 2012,
D13,schneo,Schizogenius neovalidus,,Bousquet 2012,
D13,schplu,Schizogenius pluripunctatus,,Bousquet 2012,
D13,schpyg,Schizogenius pygmaeus,,Bousquet 2012,
D13,schsco,Schizogenius scopaeus,,Bousquet 2012,
D13,selaen,Selenophorus aeneopiceus,,Bousquet 2012,
D13,selell,Selenophorus ellipticus,,Bousquet 2012,
D13,selfat,Selenophorus fatuus,,Bousquet 2012,
D13,selgag,Selenophorus gagatinus,,Bousquet 2012,
D13,selgra,Selenophorus granarius,,Bousquet 2012,
D13,selhyl,Selenophorus hylacis,,Bousquet 2012,
D13,selopa,Selenophorus opalinus,,Bousquet 2012,
D13,seloti,Selenophorus otiosus,,Bousquet 2012,TRUE
D13,selpal,Selenophorus palliatus,,Bousquet 2012,
D13,selped,Selenophorus pedicularius,,Bousquet 2012,
D13,selpla,Selenophorus planipennis,,Bousquet 2012,
D13,selsco,Selenophorus scolopaceus,,Bousquet 2012,TRUE
D13,sempun,Semiardistomis puncticollis,,Bousquet 2012,
D13,semvir,Semiardistomis viridis,,Bousquet 2012,
D13,serbem,Sericoda bembidioides,,Bousquet 2012,
D13,serbog,Sericoda bogemannii,,Bousquet 2012,
D13,serobs,Sericoda obsoleta,,Bousquet 2012,
D13,serqua,Sericoda quadripunctata,,Bousquet 2012,
D13,somuni,Somotrichus unifasciatus,,Bousquet 2012,
D13,steanc,Stenolophus anceps,,Bousquet 2012,
D13,stecal2,Stenomorphus californicus rufipes,,Bousquet 2012,
D13,stecar,Stenolophus carbo,,Bousquet 2012,
D13,stecom,Stenolophus comma,,Bousquet 2012,
D13,stecup,Stenocrepis cuprea,,Bousquet 2012,
D13,stedis,Stenolophus dissimilis,,Bousquet 2012,
D13,steduo,Stenocrepis duodecimstriata,,Bousquet 2012,
D13,steful,Stenolophus fuliginosus,,Bousquet 2012,
D13,steinf,Stenolophus infuscatus,,Bousquet 2012,
D13,stelec,Stenolophus lecontei,,Bousquet 2012,
D13,stelin,Stenolophus lineola,,Bousquet 2012,
D13,stemex,Stenocrepis mexicana,,Bousquet 2012,
D13,steoch,Stenolophus ochropezus,,Bousquet 2012,
D13,steple,Stenolophus plebejus,,Bousquet 2012,
D13,stespr,Stenolophus spretus,,Bousquet 2012,
D13,syname,Syntomus americanus,,Bousquet 2012,
D13,syndub,Synuchus dubius,,Bousquet 2012,
D13,tacang,Tachyta angulata,,Bousquet 2012,
D13,tacaus,Tachys austinicus,,Bousquet 2012,
D13,taccol,Tachys columbiensis,,Bousquet 2012,
D13,taccor,Tachys corax,,Bousquet 2012,
D13,tacino,Tachyta inornata,,Bousquet 2012,
D13,tackir,Tachyta kirbyi,,Bousquet 2012,
D13,taclit,Tachys litoralis,,Bousquet 2012,
D13,tacmor,Tachys mordax,,Bousquet 2012,
D13,tacobl,Tachys oblitus,,Bousquet 2012,
D13,tacpar,Tachyta parvicornis,,Bousquet 2012,
D13,tacpro,Tachys proximus,,Bousquet 2012,
D13,tacpul,Tachys pulchellus,,Bousquet 2012,
D13,tacpum,Tachys pumilus,,Bousquet 2012,
D13,tacsci,Tachys scitulus,,Bousquet 2012,
D13,tacseq,Tachys sequax,,Bousquet 2012,TRUE
D13,tacvor,Tachys vorax,,Bousquet 2012,
D13,teccro1,Tecnophilus croceicollis croceicollis,,Bousquet 2012,
D13,teccro2,Tecnophilus croceicollis peigani,,Bousquet 2012,
D13,tetcar1,Tetracha carolina carolina,,Bousquet 2012,
D13,tetfas,Tetragonoderus fasciatus,,Bousquet 2012,
D13,tetint,Tetragonoderus intersectus,,Bousquet 2012,
D13,tetpic,Tetraleucus picticornis,,Bousquet 2012,
D13,treapi,Trechus apicalis,,Bousquet 2012,
D13,trecha,Trechus chalybeus,,Bousquet 2012,
D13,trecol,Trechus coloradensis,,Bousquet 2012,
D13,treyve,Trechus yvesbousqueti,,Bousquet 2012,TRUE
D13,tridic,Trichotichnus dichrous,,Bousquet 2012,
D13,triful,Trichotichnus fulgens,,Bousquet 2012,
D13,zupame,Zuphium americanum,,Bousquet 2012,
D13,zupmex,Zuphium mexicanum,,Bousquet 2012,
D14,abaspl,Abaris splendidula,,Bousquet 2012,
D14,acuind,Acupalpus indistinctus,,Bousquet 2012,
D14,acupar,Acupalpus partiarius,,Bousquet 2012,
D14,acupau,Acupalpus pauperculus,,Bousquet 2012,
D14,acutes,Acupalpus testaceus,,Bousquet 2012,
D14,agoaff,Agonum affine,,Bousquet 2012,
D14,agoant,Agonum anthracinum,,Bousquet 2012,
D14,agobre,Agonum brevicolle,,Bousquet 2012,
D14,agocol,Agonum collare,,Bousquet 2012,
D14,agocon,Agonoleptus conjunctus,,Bousquet 2013,
D14,agocor,Agonum corvus,,Bousquet 2012,
D14,agocre2,Agonum crenulatum,,Bousquet 2012,
D14,agocup1,Agonum cupreum,,Bousquet 2012,
D14,agocup2,Agonum cupripenne,,Bousquet 2012,
D14,agocya,Agonum cyanopis,,Bousquet 2012,
D14,agocyc,Agonum cyclifer,,Bousquet 2012,
D14,agodec2,Agonum decorum,,Bousquet 2012,
D14,agodep,Agonum deplanatum,,Bousquet 2012,
D14,agoerr,Agonum errans,,Bousquet 2012,
D14,agoext1,Agonum extensicolle,,Bousquet 2012,
D14,agoext2,Agonum extimum,,Bousquet 2012,
D14,agofer2,Agonum ferruginosum,,Bousquet 2012,
D14,agogal,Agonum galvestonicum,,Bousquet 2012,
D14,agogra,Agonum gratiosum,,Bousquet 2012,
D14,agomel,Agonum melanarium,,Bousquet 2012,
D14,agomue,Agonum muelleri,,Bousquet 2012,
D14,agooct,Agonum octopunctatum,,Bousquet 2012,
D14,agopal1,Agonum pallipes,,Bousquet 2012,
D14,agopar2,Agonum parextimum,,Bousquet 2012,
D14,agopic1,Agonum piceolum,,Bousquet 2012,
D14,agopla,Agonum placidum,,Bousquet 2012,
D14,agopro,Agonum propinquum,,Bousquet 2012,
D14,agopun,Agonum punctiforme,,Bousquet 2012,
D14,agoqua,Agonum quadrimaculatum,,Bousquet 2012,
D14,agorot1,Agonoleptus rotundatus,,Bousquet 2012,
D14,agoruf,Agonum rufipes,,Bousquet 2012,
D14,agostr,Agonum striatopunctatum,,Bousquet 2012,
D14,agosut,Agonum suturale,,Bousquet 2012,
D14,agotex,Agonum texanum,,Bousquet 2012,
D14,agotho2,Agonum thoreyi,,Bousquet 2012,
D14,agouni,Agonoleptus unicolor,,Bousquet 2012,
D14,amaaen1,Amara aenea,,Bousquet 2012,
D14,amaalp,Amara alpina,,Bousquet 2012,
D14,amaang1,Amara angustata,,Bousquet 2012,
D14,amaapa,Amara apachensis,,Bousquet 2012,
D14,amaapr,Amara apricaria,,Bousquet 2012,
D14,amaaur,Amara aurata,,Bousquet 2012,
D14,amabla,Amara blanchardi,,Bousquet 2012,
D14,amacal,Amara californica californica,,Bousquet 2012,
D14,amacar,Amara carinata,,Bousquet 2012,
D14,amacha,Amara chalcea,,Bousquet 2012,
D14,amacoe,Amara coelebs,,Bousquet 2012,
D14,amacon1,Amara conflata,,Bousquet 2012,
D14,amacon2,Amara confusa,,Bousquet 2012,
D14,amacon3,Amara convexa,,Bousquet 2012,
D14,amacra,Amara crassispina,,Bousquet 2012,
D14,amacup,Amara cupreolata,,Bousquet 2012,
D14,amadep,Amara deparca,,Bousquet 2012,
D14,amadep,Amara deparca,,Bousquet 2012,
D14,amadis,Amara discors,,Bousquet 2012,
D14,amaell,Amara ellipsis,,Bousquet 2012,
D14,amaexa,Amara exarata,,Bousquet 2012,
D14,amafam,Amara familiaris,,Bousquet 2012,
D14,amafar,Amara farcta,,Bousquet 2012,
D14,amafle,Amara flebilis,,Bousquet 2012,
D14,amahar2,Amara harpalina,,Bousquet 2012,
D14,amaimp,Amara impuncticollis,,Bousquet 2012,
D14,amalae,Amara laevipennis,,Bousquet 2012,
D14,amalat,Amara latior,,Bousquet 2012,
D14,amalit,Amara littoralis,,Bousquet 2012,
D14,amalon,Amara longula,,Bousquet 2012,
D14,amalug1,Amara lugens,,Bousquet 2012,
D14,amalug2,Amara lugubris,,Bousquet 2012,
D14,amalun,Amara lunicollis,,Bousquet 2012,
D14,amamer,Amara merula,,Bousquet 2012,
D14,amamus,Amara musculis,,Bousquet 2012,
D14,amaneo2,Amara neomexicana,,Bousquet 2012,
D14,amaobe,Amara obesa,,Bousquet 2012,
D14,amapat,Amara patruelis,,Bousquet 2012,
D14,amapen,Amara pennsylvanica,,Bousquet 2012,
D14,amapom,Amara pomona,,Bousquet 2012,
D14,amapte,Amara pterostichina,,Bousquet 2012,
D14,amaque,Amara quenseli quenseli,,Bousquet 2012,
D14,amarec,Amara rectangula ciudadensis,,Bousquet 2012,
D14,amarub,Amara rubrica,,Bousquet 2012,
D14,amarug,Amara rugulifera,,Bousquet 2012,
D14,amasci,Amara scitula,,Bousquet 2012,
D14,amaser,Amara sera,,Bousquet 2012,
D14,amaten1,Amara tenax,,Bousquet 2012,
D14,amatex,Amara texana,,Bousquet 2012,
D14,amatho,Amara thoracica,,Bousquet 2012,
D14,amatur,Amara turbata,,Bousquet 2012,
D14,ambbar,Amblycheila baroni,,Bousquet 2012,TRUE
D14,ambcyl,Amblycheila cylindriformis,,Bousquet 2012,
D14,ambeva,Amblygnathus evansi,,Bousquet 2012,
D14,ambhov,Amblycheila hoversoni,,Bousquet 2012,
D14,ambmex,Amblygnathus mexicanus,,Bousquet 2012,
D14,ambpic,Amblycheila picolominii,,Bousquet 2012,
D14,ambsch,Amblycheila schwarzi,,Bousquet 2012,
D14,amelin,Amerinus linearis,,Bousquet 2012,
D14,ampint,Amphasia interstitialis,,Bousquet 2012,
D14,ampser,Amphasia sericea,,Bousquet 2012,
D14,anamin,Anatrichis minuta,,Bousquet 2012,
D14,ancfun,Anchomenus funebris,,Bousquet 2012,
D14,ancsch,Anchonoderus schaefferi,,Bousquet 2012,
D14,anialt,Anisodactylus alternans,,Bousquet 2012,
D14,aniama,Anisodactylus amaroides,,Bousquet 2012,
D14,aniant,Anisodactylus anthracinus,,Bousquet 2012,
D14,anicae,Anisodactylus caenus,,Bousquet 2012,
D14,anical,Anisodactylus californicus,,Bousquet 2012,
D14,anicar2,Anisodactylus carbonarius,,Bousquet 2012,
D14,anicon,Anisodactylus consobrinus,,Bousquet 2012,
D14,anidis,Anisodactylus discoideus,,Bousquet 2012,
D14,anidul,Anisodactylus dulcicollis,,Bousquet 2012,
D14,anifur,Anisodactylus furvus,,Bousquet 2012,
D14,anihap,Anisodactylus haplomus,,Bousquet 2012,
D14,anihar1,Anisodactylus harpaloides,,Bousquet 2012,
D14,anihar2,Anisodactylus harrisii,,Bousquet 2012,
D14,anikir,Anisodactylus kirbyi,,Bousquet 2012,
D14,anilae,Anisodactylus laetus,,Bousquet 2012,
D14,animer2,Anisodactylus merula,,Bousquet 2012,
D14,aniopa,Anisodactylus opaculus,,Bousquet 2012,
D14,aniovu,Anisodactylus ovularis,,Bousquet 2012,
D14,anipit,Anisodactylus pitychrous,,Bousquet 2012,
D14,anirud,Anisodactylus rudis,,Bousquet 2012,
D14,anirus,Anisodactylus rusticus,,Bousquet 2012,
D14,anisan,Anisodactylus sanctaecrucis,,Bousquet 2012,
D14,anisim,Anisodactylus similis,,Bousquet 2012,
D14,anitex,Anisodactylus texanus,,Bousquet 2012,
D14,aniver,Anisodactylus verticalis,,Bousquet 2012,
D14,apehil,Apenes hilariola,,Bousquet 2012,
D14,apeluc,Apenes lucidula lucidula,,Bousquet 2012,
D14,apeneb,Apenes nebulosa,,Bousquet 2012,
D14,apepal1,Apenes pallidipes,,Bousquet 2012,
D14,apesin,Apenes sinuata,,Bousquet 2012,
D14,aprlat1,Apristus latens,,Bousquet 2012,
D14,aprlat2,Apristus laticollis,,Bousquet 2012,
D14,aprpug,Apristus pugetanus,,Bousquet 2012,
D14,aprtuc,Apristus tuckeri,,Bousquet 2012,TRUE
D14,aspsub,Aspidoglossa subangulata,,Bousquet 2012,
D14,atrpub,Atranus pubescens,,Bousquet 2012,
D14,axibip,Axinopalpus biplagiatus,,Bousquet 2012,
D14,axifus,Axinopalpus fusciceps,,Bousquet 2012,
D14,badele,Badister elegans,,Bousquet 2012,
D14,badfla1,Badister flavipes flavipes,,Bousquet 2012,
D14,badmac,Badister maculatus,,Bousquet 2012,
D14,badneo,Badister neopulchellus,,Bousquet 2012,
D14,badnot,Badister notatus,,Bousquet 2012,
D14,badobt,Badister obtusus,,Bousquet 2012,
D14,badpar,Badister parviceps,,Bousquet 2012,
D14,badref,Badister reflexus,,Bousquet 2012,
D14,bemact2,Bembidion actuosum,,Bousquet 2012,
D14,bemaff,Bembidion affine,,Bousquet 2012,
D14,bemame,Bembidion americanum,,Bousquet 2012,
D14,bemamp,Bembidion ampliceps,,Bousquet 2012,
D14,bemapp,Bembidion approximatum,,Bousquet 2012,
D14,bemara,Bembidion aratum,,Bousquet 2012,
D14,bembif,Bembidion bifossulatum,,Bousquet 2012,
D14,bembim,Bembidion bimaculatum,,Bousquet 2012,
D14,bembre1,Bembidion breve,,Bousquet 2012,
D14,bembre2,Bembidion brevistriatum,,Bousquet 2012,
D14,bemcal1,Bembidion californicum,,Bousquet 2012,
D14,bemcal2,Bembidion callens,,Bousquet 2012,TRUE
D14,bemcar1,Bembidion carinatum,,Bousquet 2012,TRUE
D14,bemcha,Bembidion chalceum,,Bousquet 2012,
D14,bemche,Bembidion cheyennense,,Bousquet 2012,
D14,bemcle,Bembidion clemens,,Bousquet 2012,
D14,bemcol1,Bembidion coloradense,,Bousquet 2012,
D14,bemcon1,Bembidion concolor,,Bousquet 2012,
D14,bemcon10,Bembidion conspersum,,Bousquet 2012,
D14,bemcon11,Bembidion constricticolle,,Bousquet 2012,
D14,bemcon12,Bembidion constrictum,,Bousquet 2012,
D14,bemcon4,Bembidion convexulum,,Bousquet 2012,
D14,bemcon6,Bembidion confusum,,Bousquet 2012,
D14,bemcon8,Bembidion consanguineum,,Bousquet 2012,
D14,bemcor1,Bembidion cordatum,,Bousquet 2012,
D14,bemcox,Bembidion coxendix,,Bousquet 2012,
D14,bemdej,Bembidion dejectum,,Bousquet 2012,
D14,bemdil,Bembidion diligens,,Bousquet 2012,
D14,bemdur,Bembidion durangoense,,Bousquet 2012,
D14,bemdys,Bembidion dyschirinum,,Bousquet 2012,
D14,bemege,Bembidion egens,,Bousquet 2012,
D14,bemflo,Bembidion flohri,,Bousquet 2012,
D14,bemgil,Bembidion gilae,,Bousquet 2012,TRUE
D14,bemgra3,Bembidion graphicum,,Bousquet 2012,
D14,bemgra4,Bembidion grapii,,Bousquet 2012,
D14,bemhag,Bembidion hageni,,Bousquet 2012,
D14,bemimp1,Bembidion impotens,,Bousquet 2012,
D14,bemina,Bembidion inaequale,,Bousquet 2012,
D14,beminc,Bembidion incrematum,,Bousquet 2012,
D14,bemind,Bembidion indistinctum,,Bousquet 2012,
D14,bemins,Bembidion insulatum,,Bousquet 2012,
D14,bemint1,Bembidion integrum,,Bousquet 2012,
D14,bemiri1,Bembidion iridescens,,Bousquet 2012,
D14,bemjuc,Bembidion jucundum,,Bousquet 2012,
D14,bemkup,Bembidion kuprianovii,,Bousquet 2012,
D14,bemlac2,Bembidion lacunarium,,Bousquet 2012,
D14,bemlat1,Bembidion latebricola,,Bousquet 2012,TRUE
D14,bemlev1,Bembidion levigatum,,Bousquet 2012,
D14,bemlev3,Bembidion levettei carrianum,,Bousquet 2012,
D14,bemlor,Bembidion lorquinii,,Bousquet 2012,
D14,bemlug,Bembidion lugubre,,Bousquet 2012,
D14,bemmex,Bembidion mexicanum,,Bousquet 2012,
D14,bemmor1,Bembidion mormon,,Bousquet 2012,
D14,bemmun1,Bembidion mundum,,Bousquet 2012,
D14,bemmut,Bembidion mutatum,,Bousquet 2012,
D14,bemneb,Bembidion nebraskense,,Bousquet 2012,
