Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D1,anihap,Anisodactylus haplomus,,Bousquet 2012,
D1,anihar2,Anisodactylus harrisii,,Bousquet 2012,
D1,anikir,Anisodactylus kirbyi,,Bousquet 2012,
D1,anilae,Anisodactylus laetus,,Bousquet 2012,
D1,anilod,Anisodactylus lodingi,,Bousquet 2012,
D1,animel,Anisodactylus melanopus,,Bousquet 2012,
D1,animer2,Anisodactylus merula,,Bousquet 2012,
D1,aninig1,Anisodactylus nigerrimus,,Bousquet 2012,
D1,aninig2,Anisodactylus nigrita,,Bousquet 2012,
D1,aniovu,Anisodactylus ovularis,,Bousquet 2012,
D1,anipse,Anisodactylus pseudagricola,,Bousquet 2012,
D1,anirus,Anisodactylus rusticus,,Bousquet 2012,
D1,anisan,Anisodactylus sanctaecrucis,,Bousquet 2012,
D1,aniver,Anisodactylus verticalis,,Bousquet 2012,
D1,apeluc,Apenes lucidula lucidula,,Bousquet 2012,
D1,apesin,Apenes sinuata,,Bousquet 2012,
D1,aprlat1,Apristus latens,,Bousquet 2012,
D1,aprsub2,Apristus subsulcatus,,Bousquet 2012,
D1,ardobl,Ardistomis obliquata,,Bousquet 2012,
D1,asacur,Asaphidion curtum curtum,,Bousquet 2012,
D1,aspsub,Aspidoglossa subangulata,,Bousquet 2012,
D1,atrpub,Atranus pubescens,,Bousquet 2012,
D1,axibip,Axinopalpus biplagiatus,,Bousquet 2012,
D1,badfla1,Badister flavipes flavipes,,Bousquet 2012,
D1,badgra,Badister grandiceps,,Bousquet 2012,
D1,badmac,Badister maculatus,,Bousquet 2012,
D1,badmic,Badister micans,,Bousquet 2012,
D1,badneo,Badister neopulchellus,,Bousquet 2012,
D1,badnot,Badister notatus,,Bousquet 2012,
D1,badobt,Badister obtusus,,Bousquet 2012,
D1,badpar,Badister parviceps,,Bousquet 2012,
D1,badpul,Badister pulchellus,,Bousquet 2012,
D1,badref,Badister reflexus,,Bousquet 2012,
D1,badtra,Badister transversus,,Bousquet 2012,
D1,bemact1,Bembidion acticola,,Bousquet 2012,
D1,bemaff,Bembidion affine,,Bousquet 2012,
D1,bemame,Bembidion americanum,,Bousquet 2012,
D1,bemant,Bembidion antiquum,,Bousquet 2012,
D1,bembas,Bembidion basicorne,,Bousquet 2012,
D1,bembel,Bembidion bellorum,,Bousquet 2012,
D1,bembru,Bembidion bruxellense,,Bousquet 2012,
D1,bemcar2,Bembidion carinula,,Bousquet 2012,
D1,bemcar3,Bembidion carolinense,,Bousquet 2012,
D1,bemcas1,Bembidion castor,,Bousquet 2012,
D1,bemcha,Bembidion chalceum,,Bousquet 2012,
D1,bemche,Bembidion cheyennense,,Bousquet 2012,
D1,bemcon1,Bembidion concolor,,Bousquet 2012,
D1,bemcon12,Bembidion constrictum,,Bousquet 2012,
D1,bemcon3,Bembidion contractum,,Bousquet 2012,
D1,bemcon5,Bembidion concretum,,Bousquet 2012,
D1,bemcon6,Bembidion confusum,,Bousquet 2012,
D1,bemcor1,Bembidion cordatum,,Bousquet 2012,
D1,bemcox,Bembidion coxendix,,Bousquet 2012,
D1,bemdor,Bembidion dorsale,,Bousquet 2012,
D1,bemfor,Bembidion fortestriatum,,Bousquet 2012,
D1,bemfro,Bembidion frontale,,Bousquet 2012,
D1,bemfug,Bembidion fugax,,Bousquet 2012,
D1,bemgra1,Bembidion graciliforme,,Bousquet 2012,
D1,bemgra4,Bembidion grapii,,Bousquet 2012,
D1,bemhon,Bembidion honestum,,Bousquet 2012,
D1,bemimm,Bembidion immaturum,,Bousquet 2012,
D1,bemimp1,Bembidion impotens,,Bousquet 2012,
D1,bemina,Bembidion inaequale,,Bousquet 2012,
