unaccepted_synonym,accepted_synonym,spp_id,resource_id
Ochlerotatus deserticola,Aedes deserticola,Aeddes,WRBU_2010
Ochlerotatus epactius,Aedes epactius,Aedepa,WRBU_2010
Ochlerotatus fulvus pallens,Aedes fulvus pallens,Aedful,WRBU_2010
Ochlerotatus monticola,Aedes monticola,Aedmon,WRBU_2010
Ochlerotatus muelleri,Aedes muelleri,Aedmue,WRBU_2010
Ochlerotatus nigripes,Aedes nigripes,Aednig1,WRBU_2010
Ochlerotatus nigrimaculis,Aedes nigromaculis,Aednig2,WRBU_2010
Ochlerotatus sierrensis,Aedes sierrensis,Aedsie,WRBU_2010
Ochlerotatus varipalpus,Aedes varipalpus,Aedvar,WRBU_2010
Ochlerotatus papago,Aedes papago,Aedpap,WRBU_2010
Ochlerotatus bahamensis,Aedes bahamensis,Aedbah,WRBU_2010
Ochlerotatus purpureipes,Aedes purpureipes,Aedpur,WRBU_2010
