genus,sp,subsp,state,federal status,state status,notes/additional state status,source
Epioblasma,othcaloogensis,,Alabama,Endangered,,,
Elliptoideus,sloatianus,,Alabama,Threatened,,,
Villosa,trabalis,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Nicrophorus,americanus,,Alabama,Endangered,,,
Epioblasma,torulosa,torulosa,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Epioblasma,turgidula,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Epioblasma,florentina,florentina,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Campeloma,decampi,,Alabama,Endangered,,,
Speoplatyrhinus,poulsoni,,Alabama,Endangered,,,
Erimonax monachus,Entire,,Alabama,Threatened,,,
Pleurobema,clava,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Pleurobema,curtum,,Alabama,Endangered,,,
Pleurobema,perovatum,,Alabama,Endangered,,,
Pleurobema,decisum,,Alabama,Endangered,,,
Epioblasma,brevidens,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Epioblasma,penita,,Alabama,Endangered,,,
Epioblasma,metastriata,,Alabama,Endangered,,,
Percina,antesella,,Alabama,Endangered,,,
Etheostoma,wapiti,,Alabama,Endangered,,,
Percina,aurolineata,,Alabama,Threatened,,,
Etheostoma,phytophilum,,Alabama,Endangered,,,
Etheostoma,boschungi,,Alabama,Threatened,,,
Percina,tanasi,,Alabama,Threatened,,,
Etheostoma,chermocki,,Alabama,Endangered,,,
Etheostoma,nuchale,,Alabama,Endangered,,,
Somatochlora,hineana,,Alabama,Endangered,,,
Elimia,crenatella,,Alabama,Threatened,,,
Cyprogenia,stegaria,,Alabama,Endangered,,,
Rana,sevosa,,Alabama,Endangered,,Entire,
Potamilus,inflatus,,Alabama,Threatened,,,
Pleurocera,foremani,,Alabama,Endangered,,,
Ptychobranchus,greenii,,Alabama,Endangered,,,
Lampsilis,virescens,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Toxolasma,cylindrellus,,Alabama,Endangered,,,
Lioplax,cyclostomaformis,,Alabama,Endangered,,,
Quadrula,fragosa,,Alabama,Endangered,,Entire; except where listed as experimental populations,
Medionidus,acutissimus,,Alabama,Threatened,,,
Medionidus,parvulus,,Alabama,Endangered,,,
Medionidus,penicillatus,,Alabama,Endangered,,,
Quadrula,intermedia,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Peromyscus,polionotus,ammobates,Alabama,Endangered,,,
Peromyscus,polionotus,trissyllepsis,Alabama,Endangered,,,
Lampsilis,perovalis,,Alabama,Threatened,,,
Lampsilis,abrupta,,Alabama,Endangered,,,
Epioblasma,capsaeformis,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Leptodea,leptodon,,Alabama,Endangered,,,
Plethobasus,cyphyus,,Alabama,Endangered,,,
Epioblasma,triquetra,,Alabama,Endangered,,,
Puma,concolor,coryi,Alabama,Endangered,,,
Conradilla,caelata,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Hemistena,lata,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Dromus,dromas,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Pegias,fabula,,Alabama,Endangered,,,
Lepyrium,showalteri,,Alabama,Endangered,,,
Pleurobema,furvum,,Alabama,Endangered,,,
Fusconaia,cuneolus,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Pleurobema,marshalli,,Alabama,Endangered,,,
Pleurobema,hanleyianum,,Alabama,Endangered,,,
Pleurobema,taitianum,,Alabama,Endangered,,,
Pleurobema,pyriforme,,Alabama,Endangered,,,
Pleurobema,plenum,,Alabama,Endangered,,,
Fusconaia,cor,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Pleurobema,georgianum,,Alabama,Endangered,,,
Plethobasus,cooperianus,,Alabama,Endangered,,,
Lampsilis,altilis,,Alabama,Threatened,,,
Lampsilis,subangulata,,Alabama,Endangered,,,
Epioblasma,obliquata,obliquata,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Epioblasma,florentina,walkeri,Alabama,Endangered,,,
Obovaria,retusa,,Alabama,Endangered,,,
Athearnia,anthonyi,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
Leptoxis,foremani,,Alabama,Endangered,,,
Leptoxis,taeniata,,Alabama,Threatened,,,
Leptoxis,plicata,,Alabama,Endangered,,,
Leptoxis,ampla,,Alabama,Threatened,,,
Ambystoma,cingulatum,,Alabama,Threatened,,,
Phaeognathus,hubrichti,,Alabama,Threatened,,,
Cottus,paulus,,Alabama,Threatened,,,
Chelonia,mydas,,Alabama,Threatened,,except where endangered,
Eretmochelys,imbricata,,Alabama,Endangered,,,
Lepidochelys,kempii,,Alabama,Endangered,,,
Dermochelys,coriacea,,Alabama,Endangered,,,
Caretta,caretta,,Alabama,Threatened,,,
Cyprinella,caerulea,,Alabama,Threatened,,,
Notropis,cahabae,,Alabama,Endangered,,,
Notropis,albizonatus,,Alabama,Endangered,,,
Palaemonias,alabamae,,Alabama,Endangered,,,
Elliptio,chipolaensis,,Alabama,Threatened,,,
Pyrgulopsis,pachyta,,Alabama,Endangered,,,
Tulotoma,magnifica,,Alabama,Threatened,,,
Drymarchon,corais,couperi,Alabama,Threatened,,,
Cumberlandia,monodonta,,Alabama,Endangered,,,
Quadrula,stapes,,Alabama,Endangered,,,
Scaphirhynchus,suttkusi,,Alabama,Endangered,,,
Acipenser,oxyrinchus,desotoi,Alabama,Threatened,,,
Gopherus,polyphemus,,Alabama,Threatened,,W of of Mobile/Tombigbee Rs.,
Pseudemys,alabamensis,,Alabama,Endangered,,,
Sternotherus,depressus,,Alabama,Threatened,,species range clarified,
Plethobasus,cicatricosus,,Alabama,Endangered,,,
Balaenoptera,physalus,,Alabama,Endangered,,,
Megaptera,novaeangliae,,Alabama,Endangered,,,
Thelypteris,pilosa,alabamensis,Alabama,Threatened,,,
Asplenium,scolopendrium,americanum,Alabama,Threatened,,,
nodosum,,,Alabama,Endangered,,,
Sarracenia,rubra,alabamensis,Alabama,Endangered,,,
melissifolia,,,Alabama,Endangered,,,
Hyla,andersonii,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Pseudacris,ocularis,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Rana,capito,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Rana,heckscheri,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Rana,sevosa,,Alabama,,Historical possibly extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Rana,sylvatica,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ambystoma,cingulatum,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ambystoma,texanum,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ambystoma,tigrinum,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Amphiuma,means,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Amphiuma,pholeter,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Amphiuma,tridactylum,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cryptobranchus,alleganiensis,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Aneides,aeneus,,Alabama,,Rare or uncommon,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Desmognathus,aeneus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Desmognathus,apalachicolae,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Desmognathus,auriculatus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Desmognathus,monticola,,Alabama,,Demonstrably secure,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Desmognathus,ocoee,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Gyrinophilus,palleucus,palleucus,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hemidactylium,scutatum,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Phaeognathus,hubrichti,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Plethodon,serratus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Plethodon,websteri,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Necturus,alabamensis,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Siren,lacertina,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Charadrius,alexandrinus,tenuirostris,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Sterna,caspia,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Sterna,maxima,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Sterna,nilotica,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Sterna,sandvicensis,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Catoptrophorus,semipalmatus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Columbina,passerine,,Alabama,,Rare or uncommon,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Falco,sparverius,paulus,Alabama,,Regularly occurring,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Grus,canadensis,pulla,Alabama,,Historical possibly extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Aimophila,aestivalis,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ammodramus,maritimus,fisheri,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Dendroica,cerulea,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Oporornis,formosus,,Alabama,,Apparently secure,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Thryomanes,bewickii,altus,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Thryomanes,bewickii,bewickii,Alabama,,Historical possibly extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Campephilus,pricipalis,,Alabama,,Presumed extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Bos,bison,,Alabama,,Presumed extirpated,Partial Status,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cervus,canadensis,,Alabama,,Presumed extirpated,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Canis,rufus,,Alabama,,Presumed extirpated,Nonessential Experimental Population,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Peromyscus,polionotus,ammobates,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Peromyscus,polionotus,trissyllepsis,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Trichechus,manatus,,Alabama,,Accidental,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Acipenser,fulvescens,,Alabama,,Presumed extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Acipenser,oxyrinchus,desotoi,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Scaphirhynchus,platorynchus,,Alabama,,Presumed extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Scaphirhynchus,suttkusi,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Polyodon,spathula,,Alabama,,Rare or uncommon,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Alosa,alabamae,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Carpiodes,carpio,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cycleptus,elongatus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cycleptus,meridionalis,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ictiobus,cyprinellus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ictiobus,niger,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Moxostoma,anisurum,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Moxostoma,breviceps,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Moxostoma,lachneri,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Moxostoma,poecilurum,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Campostoma,pauciradii,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cyprinella,caerulea,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cyprinella,callitaenia,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Cyprinella,gibbsi,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Erimonax,monachus,,Alabama,,Presumed extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Erimystax,dissimilis,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Erimystax,insignis,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hemitremia,flammea,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hybognathus,hayi,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hybognathus,nuchalis,,Alabama,,Apparently secure,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hybopsis,amblops,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hybopsis,lineapunctata,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hybopsis,winchelli,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hybopsis,winchelli,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Luxilus,coccogenis,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Luxilus,zonistius,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Lythrurus,fumeus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Lythrurus,lirus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Lythrurus,roseipinnis,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Macrhybopsis,hyostoma,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Macrhybopsis,sp,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Nocomis,micropogon,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,albizonatus,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,ariommus,,Alabama,,Presumed extirpated,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,boops,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,buchanani,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,cahabae,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,chalybaeus,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,cummingsae,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,harperi,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,hypsilepis,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,leuciodus,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,maculatus,,Alabama,,Apparently secure,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,micropteryx,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,petersoni,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,photogenis,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,spectrunculus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,stramineus,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,telescopus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,uranoscopus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Notropis,wickliffi,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Phenacobius,mirabilis,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Phenacobius,uranops,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Phoxinus,erythrogaster,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Pteronotropis,euryzonus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Pteronotropis,signipinnis,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Pteronotropis,welaka,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,bifax,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,catenatus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,chrysotus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,cingulatus,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,dispar,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,escambiae,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,jenkinsi,,Alabama,,Critically imperiled,SC,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,notatus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Fundulus,nottii,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Leptolucania,ommata,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Lucania,goodei,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Lucania,parva,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Heterandria,formosa,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hiodon,alosoides,,Alabama,,Presumed extirpated,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Hiodon,tergisus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Atractosteus,spatula,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Lepisosteus,platostomus,,Alabama,,Presumed extirpated,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Enneacanthus,gloriosus,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Enneacanthus,obesus,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Micropterus,cataractae,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Elassoma,alabamae,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Elassoma,evergladei,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ammocrypta,bifascia,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Ammocrypta,vivax,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Crystallaria,asprella,,Alabama,,Rare or uncommon,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,bellator,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,bellator,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,bellator,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,blennioides,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,blennius,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,boschungi,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,brevirostrum,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,camurum,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,chermocki,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,chuckwachatte,,Alabama,,Imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,cinereum,,Alabama,,Presumed extirpated,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,corona,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,crossopterum,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,davisoni,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,ditrema,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,douglasi,,Alabama,,Imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,flabellare,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,fusiforme,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,histrio,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,jessiae,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,kennicotti,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,lynceum,,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,neopterum,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,nuchale,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,phytophilum,,Alabama,,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,rufilineatum,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,simoterum,,Alabama,,Rare or uncommon,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Etheostoma,E.,ditrema,Alabama,,Critically imperiled,,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
