unaccepted_synonym,accepted_synonym,spp_id,source_id
Mysticomenus tibialis,Blackburnia tibialis,blatib,
Atelothrus transiens,Blackburnia transiens,blatra,
Mesothriscus tricolor,Blackburnia tricolor,blatri,
Mesothriscus vagans,Blackburnia vagans,blavag,
Calosoma lecontei,Calosoma marginale,calmar,
Damaster blaptoides blaptoides,Carabus blaptoides blaptoides,carbla,
Colliuris pensylvanica,Cosnania pensylvanica,cospen,
Cicindela terricola cinctipennis,Cylindera cinctipennis cinctipennis,cylcin1,
Cicindela terricola continua,Cylindera cinctipennis continua,cylcin2,
Cicindela terricola imperfecta,Cylindera cinctipennis imperfecta,cylcin3,
Cicindela terricola kaibabensis,Cylindera cinctipennis kaibabensis,cylcin4,
Cicindela terricola lunalonga,Cylindera cinctipennis lunalonga,cylcin5,
Scarites substriatus,Dyschirius substriatus,dyssub3,
Tachys luteus,Elaphropus luteus,elalut,
Colpodes buchannani,Metacolpodes buchannani,metbuc2,
Bembidion molokaiense,Nesocidium molokaiense,nesmol,
Omus californicus angustocylindricus,Omus angustocylindricus,omuang,
Omus californicus intermedius,Omus intermedius,omuint,
Pterostichus iripennis,Pterostichus [NN1],pte[nn,
Pterostichus bryanti biocryus,Pterostichus biocryus,ptebio,
Pterostichus bryanti bryantoides,Pterostichus bryantoides,ptebry3,
Pterostichus bryanti cacumenis,Pterostichus cacumensis,ptecac,
Pterostichus breviusculus mimus,Pterostichus mimus,ptemim,
Pterostichus bryanti stantonensis,Pterostichus stantonensis,ptesta1,
Pterostichus bryanti tiliaceoradix,Pterostichus tiliaceoradix,ptetil,
Tachys potomacus,Tachys potomaca,tacpot,
Tefflus jamesoni,Tefflus raffrayi jamesoni,tefraf,
Megacephala affinis affinis,Tetracha affinis affinis,tetaff,
Megacephala carolina,Tetracha carolina,tetcar0,
Megacephala virginica,Tetracha virginica,tetvir,
Trechus tennesseensis,Trechus tennessensis,treten1,
