"taxonID","acceptedTaxonID","startUseDate","endUseDate","kingdom","phylum","class","order","family","subfamily","tribe","genus","subgenus","speciesGroup","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","taxonRank","vernacularName","nameAccordingTo","nameAccordingtoID","taxonomicStatus","protocolCategory"
"CHER","CHER",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathinae","","Chaetodipus","","","eremicus","","Chaetodipus eremicus","Mearns","species","Chihuahuan Pocket Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"CHFO","CHFO",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathinae","","Chaetodipus","","","formosus","","Chaetodipus formosus","Merriam","species","Longtailed Pocket Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"CHHI","CHHI",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathinae","","Chaetodipus","","","hispidus","","Chaetodipus hispidus","Baird","species","Hispid Pocket Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"CHIN","CHIN",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathinae","","Chaetodipus","","","intermedius","","Chaetodipus intermedius","Merriam","species","Rock Pocket Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"CHPE","CHPE",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathinae","","Chaetodipus","","","penicillatus","","Chaetodipus penicillatus","Woodhouse","species","Desert Pocket Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"CHSP","CHSP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathinae","","Chaetodipus",,"","sp.","","Chaetodipus sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"COCR","COCR",2012-05-01,"","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Scalopinae","Condylurini","Condylura","","","cristata","","Condylura cristata","Linnaeus","species","Starnosed Mole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"CRPA","CRPA",2012-05-01,"","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Soricinae","Blarinini","Cryptotis","","","parva","","Cryptotis parva","Say","species","North American Least Shrew","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"CYGU","CYGU",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Cynomys","Leucocrossuromys","","gunnisoni","","Cynomys gunnisoni","Baird","species","Gunnisons Prairie Dog","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"CYLU","CYLU",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Cynomys","Cynomys","","ludovicianus","","Cynomys ludovicianus","Ord","species","Blacktailed Prairie Dog","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"CYSP","CYSP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Cynomys",,"","sp.","","Cynomys sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"DIGR","DIGR",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Dicrostonyx","","","groenlandicus","","Dicrostonyx groenlandicus","Traill","species","Nearctic Collared Lemming","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DIDE","DIDE",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys","","","deserti","","Dipodomys deserti","Stephens","species","Desert Kangaroo Rat","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DIHE","DIHE",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys","","","heermanni","","Dipodomys heermanni","Le Conte","species","Heermanns Kangaroo Rat","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DIME","DIME",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys","","","merriami","","Dipodomys merriami","Mearns","species","Merriams Kangaroo Rat","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DIMI","DIMI",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys","","","microps","","Dipodomys microps","Merriam","species","Chiseltoothed Kangaroo Rat","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DIOR","DIOR",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys","","","ordii","","Dipodomys ordii","Woodhouse","species","Ords Kangaroo Rat","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DPSP","DPSP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys",,"","sp.","","Dipodomys sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"DISP","DISP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Dipodomys","","","spectabilis","","Dipodomys spectabilis","Merriam","species","Bannertailed Kangaroo Rat","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"GEAR","GEAR",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Geomyidae ","","","Geomys","","","arenarius","","Geomys arenarius","Merriam","species","Desert Pocket Gopher","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"GEBR","GEBR",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Geomyidae ","","","Geomys","","","breviceps","","Geomys breviceps","Baird","species","Bairds Pocket Gopher","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"GEBU","GEBU",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Geomyidae ","","","Geomys","","","bursarius","","Geomys bursarius","(Shaw)","species","Plains Pocket Gopher","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
