family,taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
Cricetidae,mammal,phe_int,Wilson_2005,Phenacomys intermedius,Phenacomys,,intermedius,,Merriam,1889,,Western Heather Vole,1
Vespertilionidae,mammal,pip_hes,Wilson_2005,Pipistrellus hesperus,Pipistrellus,,hesperus,,H. Allen,1864,,Western Pipistrelle,1
Vespertilionidae,mammal,pip_sub,Wilson_2005,Pipistrellus subflavus,Pipistrellus,,subflavus,,F. Cuvier,1832,,Eastern Pipistrelle,1
Cricetidae,mammal,pod_flo,Wilson_2005,Podomys floridanus,Podomys,,floridanus,,Chapman,1889,,Florida Deermouse,1
Procyonidae,mammal,pro_lot,Wilson_2005,Procyon lotor,Procyon,,lotor,,Linnaeus,1758,,Raccoon,1
Felidae,mammal,pum_con,Wilson_2005,Puma concolor,Puma,,concolor,,Linnaeus,1771,,Cougar,1
Cervidae,mammal,ran_tar,Wilson_2005,Rangifer tarandus,Rangifer,,tarandus,,Linnaeus,1758,,Reindeer,1
Cricetidae,mammal,rei_ful,Wilson_2005,Reithrodontomys fulvescens,Reithrodontomys,,fulvescens,,J. A. Allen,1894,,Fulvous Harvest Mouse,1
Cricetidae,mammal,rei_hum,Wilson_2005,Reithrodontomys humulis,Reithrodontomys,,humulis,,Audubon and Bachman,1841,,Eastern Harvest Mouse,1
Cricetidae,mammal,rei_meg,Wilson_2005,Reithrodontomys megalotis,Reithrodontomys,,megalotis,,Baird,1857,,Western Harvest Mouse,1
Cricetidae,mammal,rei_mon,Wilson_2005,Reithrodontomys montanus,Reithrodontomys,,montanus,,Baird,1855,,Plains Harvest Mouse,1
Talpidae,mammal,sca_aqu,Wilson_2005,Scalopus aquaticus,Scalopus,,aquaticus,,Linnaeus,1758,,Eastern Mole,1
Talpidae,mammal,sca_lat,Wilson_2005,Scapanus latimanus,Scapanus,,latimanus,,Bachman,1842,,Broad-footed Mole,1
Talpidae,mammal,sca_ora,Wilson_2005,Scapanus orarius,Scapanus,,orarius,,TRUE,1896,,Coast Mole,1
Talpidae,mammal,sca_tow,Wilson_2005,Scapanus townsendii,Scapanus,,townsendii,,Bachman,1839,,Townsend's Mole,1
Sciuridae,mammal,sci_abe,Wilson_2005,Sciurus aberti,Sciurus,,aberti,,Woodhouse,1852,,Abert's Squirrel,1
Sciuridae,mammal,sci_car,Wilson_2005,Sciurus carolinensis,Sciurus,,carolinensis,,Gmelin,1788,,Eastern Gray Squirrel,1
Sciuridae,mammal,sci_gri,Wilson_2005,Sciurus griseus,Sciurus,,griseus,,Ord,1818,,Western Gray Squirrel,1
Sciuridae,mammal,sci_nig,Wilson_2005,Sciurus niger,Sciurus,,niger,,Linnaeus,1758,,Eastern Fox Squirrel,1
Cricetidae,mammal,sig_ari,Wilson_2005,Sigmodon arizonae,Sigmodon,,arizonae,,Mearns,1890,,Arizona Cotton Rat,1
Cricetidae,mammal,sig_ful,Wilson_2005,Sigmodon fulviventer,Sigmodon,,fulviventer,,J. A. Allen,1889,,Tawny-bellied Cotton Rat,1
Cricetidae,mammal,sig_his,Wilson_2005,Sigmodon hispidus,Sigmodon,,hispidus,,Say and Ord,1825,,Hispid Cotton Rat,1
Cricetidae,mammal,sig_och,Wilson_2005,Sigmodon ochrognathus,Sigmodon,,ochrognathus,,Bailey,1902,,Yellow-nosed Cotton Rat,1
Soricidae,mammal,sor_arc,Wilson_2005,Sorex arcticus,Sorex,,arcticus,,Kerr,1792,,Arctic Shrew,1
Soricidae,mammal,sor_ari,Wilson_2005,Sorex arizonae,Sorex,,arizonae,,Diersing and Hoffmeister,1977,,Arizona Shrew,1
Soricidae,mammal,sor_bai,Wilson_2005,Sorex bairdi,Sorex,,bairdi,,Merriam,1895,,Baird's Shrew,1
Soricidae,mammal,sor_ben,Wilson_2005,Sorex bendirii,Sorex,,bendirii,,Merriam,1884,,Marsh Shrew,1
Soricidae,mammal,sor_cin,Wilson_2005,Sorex cinereus,Sorex,,cinereus,,Kerr,1792,,Cinereus Shrew,1
Soricidae,mammal,sor_dis,Wilson_2005,Sorex dispar,Sorex,,dispar,,Batchelder,1911,,Long-tailed Shrew,1
