unaccepted_synonym,accepted_synonym
Acomys subspinosus umbratus,Acomys louisae umbratus
Acomys cahirinus minous,Acomys minous
Acomys dimidiatus mullah,Acomys mullah
Acomys brockmani,Acomys mullah brockmani
Acomys cahirinus nesiotes,Acomys nesiotes
Mus affinis,Acomys russatus aegyptiacus
Acomys lewisi,Acomys russatus lewisi
Acomys cahirinus seurati,Acomys seurati
Acomys cahirinus surati ?,Acomys seurati
Acomys transvaalensis,Acomys spinosissimus
Acomys cahirinus selousi,Acomys spinosissimus selousi
Acomys transvaalensis,Acomys spinosissimus transvaalensis
Acomys subspinosus wilsoni,Acomys wilsoni
Acomys spinosissimus ablutus,Acomys wilsoni ablutus
Acomys spinosissimus argillaceus,Acomys wilsoni argillaceus
Acomys boronei,Acomys wilsoni boronei
Acomys spinosissimus enid,Acomys wilsoni enid
Acomys spinosissimus nubilus,Acomys wilsoni nubilus
Schizodon fuscus,Aconaemys fuscus
Aconaemys fuscus porteri,Aconaemys porteri
Habanocnus paulacoutoi,Acratocnus antillensis
Dromicia frontalis,Acrobates pygmaeus
Didelphis pygmaea,Acrobates pygmaeus
Dromicia frontalis,Acrobates pygmaeus frontalis
Acrobates pulchellus,Acrobates pygmaeus pulchellus
Antilope mytilopes,Addax nasomaculatus
Antilope addax,Addax nasomaculatus addax
Antilope gibbosa,Addax nasomaculatus gibbosa
Thomasomys lugens,Aepeomys lugens
Aepeomy ottleyi,Aepeomys lugens ottleyi
Thomasomys reigi,Aepeomys reigi
Antilope pallah,Aepyceros melampus pallah
Aepyceros petersi,Aepyceros melampus petersi
Aepyceros melampus swara,Aepyceros melampus suara
Bettongia rufescens,Aepyprymnus rufescens
Petaurista melanopterus,Aeretes melanopterus
Petaurista sulcatus,Aeretes melanopterus
Petaurista sulcatus,Aeretes melanopterus sulcatus
Aeromys bartelsi,Aeromys tephromelas bartelsi
Aeromys phaeomelas,Aeromys tephromelas phaeomelas
Aethalops alecto aequalis,Aethalops aequalis
Mus bocagei,Aethomys bocagei
Mus chrysophilus,Aethomys chrysophilus
Mus chysophilus acticola,Aethomys chrysophilus acticola
Mus albiventer,Aethomys chrysophilus albiventer
Rattus albiventer,Aethomys chrysophilus albiventer
Mus chrysophilus pretoriae,Aethomys chrysophilus pretoriae
Rattus chrysophilus tzaneenensis,Aethomys chrysophilus tzaneenensis
Mus voi,Aethomys chrysophilus voi
Rattus granti,Aethomys granti
