unaccepted_synonym,accepted_synonym
Crocidura osorio,Crocidura russula osorio
Pachyura pigmaea,Crocidura russula pigmaea
Crocidura poliogastra,Crocidura russula poliogastra
Crocidura pulchra,Crocidura russula pulchra
Crocidura rufa,Crocidura russula rufa
Sorex russulus,Crocidura russula russula
Crocidura heljanensis safii,Crocidura russula safii
Crocidura thoracicus,Crocidura russula thoracicus
Crocidura unicolor,Crocidura russula unicolor
Crocidura canariensis?,Crocidura russula yebalensis
Crocidura fumosa selina,Crocidura selina
Crocidura pergrisea serezkyensis,Crocidura serezkyensis
Crocidura ilensis shantungensis,Crocidura shantungensis
Crocidura coreae,Crocidura shantungensis coreae
Crocidura longicauda,Crocidura shantungensis longicauda
Crocidura russula quelpartis,Crocidura shantungensis quelpartis
Crocidura leucodon sibirica,Crocidura sibirica
Crocidura leucodon ognevi,Crocidura sibirica ognevi
Crocidura russula sicula,Crocidura sicula
Crocidura caudata,Crocidura sicula caudata
Crocidura esuae,Crocidura sicula esuae
Crocidura pulchra silacea,Crocidura silacea
Crocidura sericea,Crocidura silacea
Crocidura littoralis stenocephala,Crocidura stenocephala
Crocidura antipae,Crocidura suaveolens antipae
Crodidura ariadne,Crocidura suaveolens ariadne
Crocidura astrabadensis,Crocidura suaveolens astrabadensis
Crocidura leucodon avicennai,Crocidura suaveolens avicennai
Crocidura russula balearica,Crocidura suaveolens balearica
Crocidura russula canea,Crocidura suaveolens caneae
Crocidura cantabra,Crocidura suaveolens cantanbra
Crocidura cassiteridum,Crocidura suaveolens cassiteridum
Crocidura corsicana,Crocidura suaveolens corsicana
Crocidura russula cypria,Crocidura suaveolens cypria
Crocidura russula cyrnensis,Crocidura suaveolens cyrnensis
Crocidura mimula debeauxi,Crocidura suaveolens debeauxi
Crocidura dinniki,Crocidura suaveolens dinniki
Crocidura suaveolens enez-sizunensis,Crocidura suaveolens enezsizunensis
Crocidura iculisma,Crocidura suaveolens iculisma
Crocidura suaveolens debeauxi,Crocidura suaveolens italica
Crocidura mimula,Crocidura suaveolens mimula
Crocidura russula mimuloides,Crocidura suaveolens mimuloides
Crocidura aranea var. minor,Crocidura suaveolens minor
Crocidura russula monacha,Crocidura suaveolens monacha
Crocidura oyaensis,Crocidura suaveolens oayensis
Crocidura pamirensis,Crocidura suaveolens pamirensis
Crocidura ilensis phaeopus,Crocidura suaveolens phaeopus
Crocidura rossiccia sarda,Crocidura suaveolens sarda
Sorex suaveolens,Crocidura suaveolens suaveolens
Crocidura utsuryoensis,Crocidura suaveolens utsuryoensis
Crocidura uxantisi,Crocidura suaveolens uxantisi
Crocidura horsfieldii tadae,Crocidura tadae
Crocidura rapax lutaoensis,Crocidura tadae lutaoensis
Crocidura attenuata tanakae,Crocidura tanakae
Crocidura tansania,Crocidura tansaniana
Crocidura turba tarella,Crocidura tarella
Crocidura whitakeri tarfayensis,Crocidura tarfayensis
Crocidura agadiri,Crocidura tarfayensis agadiri
Crocidura gouliminensis,Crocidura tarfayensis gouliminensis
Crocidura tiznitensis,Crocidura tarfayensis tiznitensis
Crocidura fuliginosa tenuis,Crocidura tenuis
Crocidura mackloti,Crocidura tenuis macklotii
Crocidura foxi theresae,Crocidura theresae
Crocidura tenuata var. Trichura,Crocidura trichura
Crocidura attenuata trichura,Crocidura trichura
Crocidura mariquensis turba,Crocidura turba
Sorex viarius,Crocidura viaria
Crocidura bolivari,Crocidura viaria bolivari
Crocidura hindei,Crocidura viaria hindei
Crocidura suahelae,Crocidura viaria suahelae
Crocidura tamrinensis,Crocidura viaria tamrinensis
Crocidura hildegardeae virgata,Crocidura virgata
Crocidura vulcani,Crocidura virgata vulcani
Crocidura aridula,Crocidura voi aridula
Crocidura butleri,Crocidura voi butleri
Crocidura butleri percivali,Crocidura voi percivali
Crocidura russula vorax,Crocidura vorax
Crocidura fuliginosa vosmaeri,Crocidura vosmaeri
Crocidura horsfieldii watasei,Crocidura watasei
Crocidura suavolens whitakeri,Crocidura whitakeri
Crocidura essaouiranensis,Crocidura whitakeri essaouiranensis
Crocidura matruhensis,Crocidura whitakeri matruhensis
Crocidura mesatanensis,Crocidura whitakeri mesatanensis
Crocidura zaianensis,Crocidura whitakeri zaianensis
Crocidura horsfieldii wuchihensis,Crocidura wuchihensis
Crocidura olivieri zaphiri,Crocidura zaphiri
Crocidura simiolus,Crocidura zaphiri simiolus
Crocidura pergrisea zarudnyi,Crocidura zarudnyi
Crocidura tatianae,Crocidura zarudnyi tatianae
Crocidura russula zimmermanni,Crocidura zimmermanni
Hyaena crocuta,Crocuta crocuta
Hyaena capensis,Crocuta crocuta capensis
Hyaena cuvieri,Crocuta crocuta cuvieri
Hyaena gariepensis,Crocuta crocuta gariepensis
Hyaena germinans,Crocuta crocuta germinans
Hyanea crocuta habessynica,Crocuta crocuta habessynica
Crocotta kibonotensis,Crocuta crocuta kibonotensis
Hyaena leontiewi,Crocuta crocuta leontiewi
Crocuta maculata,Crocuta crocuta maculata
Hyaena noltei,Crocuta crocuta noltei
Crocuta nyasae,Crocuta crocuta nyasae
Crocuta nzoyae,Crocuta crocuta nzoyae
Crocuta panganensis,Crocuta crocuta panganensis
Hyaena rufa,Crocuta crocuta rufa
Crocuta rufopicta,Crocuta crocuta rufopicta
Hyanea thierryi,Crocuta crocuta thierryi
Crocuta thomasi,Crocuta crocuta thomasi
Crocuta togoensis,Crocuta crocuta togoensis
Hyaena wissmanni,Crocuta crocuta wissmanni
Mungotictis alexandri,Crossarchus alexandri
Mungotictis ansorgei,Crossarchus ansorgei
Mungos obscurus,Crossarchus obscurus
Crossarchus somalicus,Crossarchus obscurus somalicus
Crossarchus obscurus platycephalus,Crossarchus platycephalus
Crunomys rabori,Crunomys melanius
Crunomys melanius rabori,Crunomys rabori
Cryptochloris wintoni zily,Cryptochloris zyli
Coetomys #1,Cryptomys #1
Coetomys #2,Cryptomys #2
Coetomys #3,Cryptomys #3
Coetomys #4,Cryptomys #4
Coetomys #5,Cryptomys #5
Cryptomys hottentotus amatus,Cryptomys amatus
Fukomys amatus,Cryptomys amatus
Cryptomys molyneuxi,Cryptomys amatus molyneuxi
Coetomys anselli,Cryptomys anselli
Cryptomys hottentotus bocagei,Cryptomys bocagei
Georychus bocagei,Cryptomys bocagei
Cryptomys kubanqensis,Cryptomys bocagei kubangensis
Coetomys damarensis,Cryptomys damarensis
Georychus damarensis,Cryptomys damarensis
Bathyergus damarensis,Cryptomys damarensis damarensis
Georychus lugardi,Cryptomys damarensis lugardi
Coetomys micklemi,Cryptomys damarensis micklemi
Georychus micklemi,Cryptomys damarensis micklemi
Cryptomys ovamboensis,Cryptomys damarensis ovamboensis
Coetomys darlingi,Cryptomys darlingi
Fukomys darlingi,Cryptomys darlingi
Georychus beirae,Cryptomys darlingi beirae
Cryptomys hottentotus beirae,Cryptomys darlingi beirae
Georychus nimrodi,Cryptomys darlingi nimrodi
Cryptomys hottentotus nimrodi,Cryptomys darlingi nimrodi
Cryptomys zimbitiensis,Cryptomys darlingi zimbitiensis
Coetomys foxi,Cryptomys foxi
Georychus foxi,Cryptomys foxi
Georychus abberrans,Cryptomys hottentotus abberrans
Georychus albus,Cryptomys hottentotus albus
Georychus anomalus,Cryptomys hottentotus anomalus
Georychus arenarius,Cryptomys hottentotus arenarius
Cryptomys bigalkei,Cryptomys hottentotus bigalkei
Bathyergus caecutiens,Cryptomys hottentotus caecutiens
Cryptomys choma,Cryptomys hottentotus choma
Cryptomys cradockensis,Cryptomys hottentotus cradockensis
Georychus holosericeus,Cryptomys hottentotus holosericeus
Cryptomys holosericeus holosericeus,Cryptomys hottentotus holosericeus
Bathyergus hottentotus,Cryptomys hottentotus hottentotus
Georychus jamesoni,Cryptomys hottentotus jamesoni
Georychus jorisseni,Cryptomys hottentotus jorisseni
Cryptomys junodi,Cryptomys hottentotus junodi
Georychus komatiensis,Cryptomys hottentotus komatiensis
Cryptomys langi,Cryptomys hottentotus langi
Bathyergus ludwigii,Cryptomys hottentotus ludwigii
Georychus mahali,Cryptomys hottentotus mahali
Cryptomys melanoticus,Cryptomys hottentotus melanoticus
Cryptomys montanus,Cryptomys hottentotus montanus
Georychus natalensis,Cryptomys hottentotus natalensis
Cryptomys natalensis nemo,Cryptomys hottentotus nemo
Cryptomys occlusus,Cryptomys hottentotus occlusus
Cryptomys orangiae,Cryptomys hottentotus orangiae
Georychus palki,Cryptomys hottentotus palki
Cryptomys natalensis pallidus,Cryptomys hottentotus pallidus
Georychus pretoriae,Cryptomys hottentotus pretoriae
Georychus rufulus,Cryptomys hottentotus rufulus
Georychus stellatus,Cryptomys hottentotus stellatus
Cryptomys komatiensis stellatus,Cryptomys hottentotus stellatus
Cryptomys natalensis streeteri,Cryptomys hottentotus streeteri
Georychus hottentotus talpoides,Cryptomys hottentotus talpoides
Cryptomys transvaalensis,Cryptomys hottentotus transvaalensis
Cryptomys holosericeus valschensis,Cryptomys hottentotus valschensis
Georychus vandami,Cryptomys hottentotus vandami
Cryptomys vetensis,Cryptomys hottentotus vetensis
Georychus vryburgensis,Cryptomys hottentotus vryburgensis
Cryptomys holosericeus vryburgensis,Cryptomys hottentotus vryburgensis
Coetomys whytei,Cryptomys hottentotus whytei
Cryptomys whitei,Cryptomys hottentotus whytei
Cryptomys komatiensis zuluensis,Cryptomys hottentotus zuluensis
Fukomys ilariae,Cryptomys ilariae
Coetomys kafuensis,Cryptomys kafuensis
Coetomys mechowi,Cryptomys mechowi
Fukomys mechowii,Cryptomys mechowi
Cryptomys ansorgei,Cryptomys mechowi ansorgei
Cryptomys blainei,Cryptomys mechowi blainei
Cryptomys mellandi,Cryptomys mechowi mellandi
Coetomys ochraceocinereus,Cryptomys ochraceocinereus
Georychus ochraceo-cinereus,Cryptomys ochraceocinereus
Cryptomys kummi,Cryptomys ochraceocinereus kummi
Cryptomys lechei,Cryptomys ochraceocinereus lechei
Fukomys zechi,Cryptomys zechi
Gracilinanus agilis unduaviensis,Cryptonanus unduaviensis
Marmosa unduaviensis,Cryptonanus unduaviensis
Cryptoprocta typicus,Cryptoprocta ferox
Cryptotis goldmani alticola,Cryptotis alticola
Cryptotis euryrhynchis,Cryptotis alticola euryrhynchis
Cryptotis thomasi avia,Cryptotis avia
Cryptotis thomasi equatoris,Cryptotis equatoris
Cryptotis osgoodi,Cryptotis equatoris osgoodi
Cryptotis mexicana goldmani,Cryptotis goldmani
Blarina fossor,Cryptotis goldmani fossor
Cryptotis frontalis,Cryptotis goldmani frontalis
Cryptotis guerrerensis,Cryptotis goldmani guerrerensis
Blarina mexicana machetes,Cryptotis goldmani machetes
Cryptotis jacksoni,Cryptotis gracilis jacksoni
Cryptotis gracilis hondurensis,Cryptotis hondurensis
Blarina magna,Cryptotis magna
Cryptotis goodwini magnimana,Cryptotis magnimana
Cryptotis nigrescens mayensis,Cryptotis mayensis
Cryptotis thomasi medelllinia,Cryptotis medellinia
Cryptotis nigrescens merus,Cryptotis mera
Cryptotis thomasi meridensis,Cryptotis meridensis
Cryptotis nigrescens merriami,Cryptotis merriami
Blarina mexicana,Cryptotis mexicana
Blarina montivaga,Cryptotis montivaga
Cryptotis mexicana nelsoni,Cryptotis nelsoni
Blarina nigrescens,Cryptotis nigrescens
Cryptotis micrura,Cryptotis nigrescens micrura
Cryptotis tersus,Cryptotis nigrescens tersus
Cryptotis zeteki,Cryptotis nigrescens zeteki
Cryptotis mexicana obscura,Cryptotis obscura
Cryptotis mexicana madrea,Cryptotis obscura madrea
Cryptotis parva orophila,Cryptotis orophila
Blarina oreophila,Cryptotis orophila
Blarina olivaceus,Cryptotis orophila olivaceus
Cryptotis parva olivaceus,Cryptotis orophila olivaceus
Blarina parva,Cryptotis parva
Blarina berlandieri,Cryptotis parva berlandieri
Blarina brevicauda berlandieri,Cryptotis parva berlandieri
Cryptotis celatus,Cryptotis parva celatus
Blarina cinerea,Cryptotis parva cinereus
Cryptotis floridana,Cryptotis parva floridana
Brachysorex harlani,Cryptotis parva harlani
Cryptotis pergracilis macer,Cryptotis parva macer
Cryptotis pergracilis nayaritensis,Cryptotis parva nayaritensis
Blarina pergracilis,Cryptotis parva pergracilis
Cryptotis pergracilis pergracilis,Cryptotis parva pergracilis
Cryptotis celatus,Cryptotis parva pueblensis
Blarina soricina,Cryptotis parva soricina
Cryptotis mexicana peregrina,Cryptotis peregrina
Cryptotis mexicana phillipsii,Cryptotis phillipsii
Xenosorex phillipsii,Cryptotis phillipsii
Blarina squamipes,Cryptotis squamipes
Blarina tropicalis,Cryptotis tropicalis
Sorex micrurus,Cryptotis tropicalis micrurus
Cryptotis parva micrurus,Cryptotis tropicalis micrurus
Mus gundi,Ctenodactylus gundi
Ctenodactylus massonii,Ctenodactylus gundi massonii
Ctenodactylus gundi vali,Ctenodactylus vali
Ctenodactylus gundi joleaudi,Ctenodactylus vali joleaudi
Ctenomys porteousi australis,Ctenomys australis
Ctenomys australis azarae,Ctenomys azarae
Ctenomys mendocinus bergi,Ctenomys bergi
Ctenomys brasiliensis,Ctenomys boliviensis brasiliensis
Ctenomys nattereri,Ctenomys boliviensis nattereri
Ctenomys nattereri rondoni,Ctenomys boliviensis rondoni
Ctenomys frater budini,Ctenomys budini
Ctenomys barbarus,Ctenomys budini barbarus
Ctenomys fulvus coludo,Ctenomys coludo
Chacomys conoveri,Ctenomys conoveri
Ctenomys fulvus famosus,Ctenomys famosus
Ctenomys flammarioni,Ctenomys flamarioni
Ctenomys mendocinus fochi,Ctenomys fochi
Ctenomys talarum fodax,Ctenomys fodax
Ctenomys sylvanus mordosus,Ctenomys frater mordosus
Ctenomys atracamensis,Ctenomys fulvus atracamensis
Ctenomys chilensis,Ctenomys fulvus chilensis
Ctenomys pallidus,Ctenomys fulvus pallidus
Ctenomys pernix,Ctenomys fulvus pernix
Ctenomys robustus,Ctenomys fulvus robustus
Ctenomys boliviensis goodfellowi,Ctenomys goodfellowi
Ctenomys mendocinus haigi,Ctenomys haigi
Ctenomys fulvus johannis,Ctenomys johannis
Ctenomys mendocinus juris,Ctenomys juris
Ctenomys mendocinus latro,Ctenomys latro
Ctenomys fueginus,Ctenomys magellanicus fueginus
Ctenomys neglectus,Ctenomys magellanicus neglectus
Ctenomys osgoodi,Ctenomys magellanicus osgoodi
Ctenomys robustus,Ctenomys magellanicus robustus
Ctenomys haigi maulinus,Ctenomys maulinus
Ctenomys eremicus,Ctenomys mendocinus eremicus
Ctenomys eremophilus,Ctenomys mendocinus eremophilus
Ctenomys bicolor,Ctenomys minutus bicolor
Ctenomys mendocinus occultus,Ctenomys occultus
Ctenomys luteolus,Ctenomys opimus luteolus
Ctenomys opimus nigripes,Ctenomys opimus nigriceps
Ctenomys tucotuco ?,Ctenomys paraguayensis
Ctenomys perrensis,Ctenomys perrensi
Ctenomys mendocinus pundti,Ctenomys pundti
Ctenomys minutus rionegrensis,Ctenomys rionegrensis
Ctenomys frater sylvanus,Ctenomys sylvanus
Ctenomys frater utibilis,Ctenomys sylvanus utibilis
Ctenomys mendocinus talarum,Ctenomys talarum
Ctenomys mendocinus recessus,Ctenomys talarum recessus
Ctenomys mendocinus tucumanus,Ctenomys tucumanus
Ctenomys fulvus tulduco,Ctenomys tulduco
Ctenomys knighti viperinus,Ctenomys viperinus
Agouti paca,Cuniculus paca
Agouti paca alba,Cuniculus paca alba
Agouti paca guanta,Cuniculus paca guanta
Agouti paca mexicanae,Cuniculus paca mexicanae
Agouti paca nelsoni,Cuniculus paca nelsoni
Agouti paca paca,Cuniculus paca paca
Agouti paca sublaevis,Cuniculus paca sublaevis
Agouti paca venezuelica,Cuniculus paca venezuelica
Agouti paca virgatus,Cuniculus paca virgatus
Agouti sierrae,Cuniculus taczanowskii
Agouti (Coelogenys) sierrae andina,Cuniculus taczanowskii andina
Agouti sierrae,Cuniculus taczanowskii sierrae
Agouti taczanowskii sierrae,Cuniculus taczanowskii sierrae
Agouti taczanowskii taczanowskii,Cuniculus taczanowskii taczanowskii
Canis alpinus,Cuon alpinus
Anurocyon clamitans,Cuon alpinus clamitans
Cuon dukhunensis,Cuon alpinus dukhunensis
Cuon grayiformes,Cuon alpinus grayiformes
Cuon javanicus jason,Cuon alpinus jason
Cuon javanicus,Cuon alpinus javanicus
Cuon lepturus,Cuon alpinus lepturus
Canis primaevus,Cuon alpinus primaevus
Cuon rutilans,Cuon alpinus rutilans
Cuon sumatrensis,Cuon alpinus sumatrensis
Abrocoma oblavita,Cuscomys oblativa
Eurypterna didactyla,Cyclopes didactylus
Cyclothurus didactyla,Cyclopes didactylus
Cyclopes codajazensis,Cyclopes didactylus codajazensis
Cyclothurus dorsalis,Cyclopes didactylus dorsalis
Cyclopes juruanus,Cyclopes didactylus juruanus
Cynictis brachyura,Cynictis penicillata brachyura
Cynictis bradfieldi,Cynictis penicillata bradfieldi
Cynictis cinderella,Cynictis penicillata cinderella
Cynictis coombsi,Cynictis penicillata coombsi
Cynictis intensa,Cynictis penicillata intensa
Cynictis kalaharica,Cynictis penicillata kalaharica
Cynictis karasensis,Cynictis penicillata karasensis
Cynictis lepturus,Cynictis penicillata lepturus
Cynictis levaillantii,Cynictis penicillata levaillantii
Cynictis ogilbyi,Cynictis penicillata ogilbyi
Cynictis pallidior,Cynictis penicillata pallidior
Cynictis steedmanni,Cynictis penicillata steedmanni
Cynictis typicus,Cynictis penicillata typicus
Lemur volans,Cynocephalus volans
Gaelopithecus philippinensis,Cynocephalus volans philippinensis
Galeopterus rufus,Cynocephalus volans rufus
Potamophilus barbatus,Cynogale bennettii barbatus
Lamictis carcharias,Cynogale bennettii carcharias
Cynogale lowei,Cynogale bennettii lowei
Molossops abrasus,Cynomops abrasus
Promops abrasus,Cynomops abrasus
Molossops abrasus abrasus,Cynomops abrasus abrasus
Molossops abrasus brachymeles,Cynomops abrasus brachymeles
Molossops brachymeles cerastes,Cynomops abrasus cerastes
Cynomops brachymeles cerastes,Cynomops abrasus cerastes
Molossops brachymeles mastivus,Cynomops abrasus mastivus
Cynomops brachymeles mastivus,Cynomops abrasus mastivus
Molossops greenhalli,Cynomops greenhalli
Molossops greenhalli greenhalli,Cynomops greenhalli greenhalli
Molossops mexicanus,Cynomops mexicanus
Molossops greenhalli mexicanus,Cynomops mexicanus
Molossops paranus,Cynomops paranus
Molossops milleri,Cynomops paranus milleri
Eumops auripendulus milleri,Cynomops paranus milleri
Molossops planirostris,Cynomops planirostris
Molossops planirostris espiritosantensis,Cynomops planirostris espiritosantensis
Molossops planirostris planirostris,Cynomops planirostris planirostris
Cynomys lewisii,Cynomys leucurus
Cynomys lewisi,Cynomys leucurus lewisi
Marmota baibacina lewisi,Cynomys leucurus lewisi
Arctomys ludovicianus,Cynomys ludovicianus
Cynomys socialis,Cynomys ludovicianus
Cynomys arizonensis,Cynomys ludovicianus arizonensis
Cynomys grisea,Cynomys ludovicianus grisea
Arctomys latrans,Cynomys ludovicianus latrans
Monax missouriensis,Cynomys ludovicianus missouriensis
Cynomys pyrrotrichus,Cynomys ludovicianus pyrrotrichus
Cynomys socialis,Cynomys ludovicianus socialis
Cynomys gunnisoni parvidens,Cynomys parvidens
Pachysoma brachyotis,Cynopterus brachyotis
Cynopterus marginatus var. andamanensis,Cynopterus brachyotis andamanensis
Cynopterus brachysoma,Cynopterus brachyotis brachysoma
Pachysoma brevicaudatum,Cynopterus brachyotis brevicaudatum
Cynopterus sphinx ceylonensis,Cynopterus brachyotis ceylonensis
Pachysoma duvaucelii,Cynopterus brachyotis duvaucelii
Cynopterus marginatus var. ellioti,Cynopterus brachyotis ellioti
Vespertilio fibulatus,Cynopterus brachyotis fibulatus
Cynopterus grandidieri,Cynopterus brachyotis grandidieri
Cynopterus marginatus,Cynopterus brachyotis marginatus
Cynopterus minor,Cynopterus brachyotis minor
Cynopterus montanoi,Cynopterus brachyotis montanoi
Pteropus pusillus,Cynopterus brachyotis pusillus
Cynopterus harpax,Cynopterus horsfieldii harpax
Cynopterus minor,Cynopterus horsfieldii minor
Niadius minor,Cynopterus horsfieldii minor
Cynopterus persimilis,Cynopterus horsfieldii persimilis
Cynopterus princeps,Cynopterus horsfieldii princeps
Cynopterus brachyotis luzoniensis,Cynopterus luzoniensis
Cynopterus brachyotis archipelagus,Cynopterus luzoniensis archipelagus
Cynopterus marginatus var. cuminggii,Cynopterus luzoniensis cuminggii
Pachysoma luzoniense,Cynopterus luzoniensis luzoniense
Cynopterus marginatus var. philippensis,Cynopterus luzoniensis philippensis
Cynopterus brachyotis minutus,Cynopterus minutus
Vespertilio sphinx,Cynopterus sphinx
Cynopterus angulatus,Cynopterus sphinx angulatus
Cynopterus babi,Cynopterus sphinx babi
Pteropus marginatus,Cynopterus sphinx marginatus
Cynopterus pagensis,Cynopterus sphinx pagensis
Cynopterus marginatus var. scherzeri,Cynopterus sphinx scherzeri
Cynopterus sphinx titthaecheilus,Cynopterus titthaecheilus
Pachysoma diardi,Cynopterus titthaecheilus diardi
Cynopterus major,Cynopterus titthaecheilus major
Cynopterus terminus,Cynopterus titthaecheilus terminus
Cystophora dimidiata,Cystophora cristata
Cystophora dimidiata,Cystophora cristata dimidiata
Phoca isidorei,Cystophora cristata isodirei
Dacnomys wroughtoni,Dacnomys millardi wroughtoni
Dactylomys dactylinus boliviensis,Dactylomys boliviensis
Dactylomys typus,Dactylomys dactylinus
Dactylopsila trivirgata megalura,Dactylopsila megalura
Dactylonax palpator,Dactylopsila palpator
Dactylonax palpator palpator,Dactylopsila palpator palpator
Dactylopsila trivirgata tatei,Dactylopsila tatei
Dactylopsila albertisii,Dactylopsila trivirgata
Dactylopsila biedermanni,Dactylopsila trivirgata
Dactylopsila albertisii,Dactylopsila trivirgata albertisii
Phalangista angustivittis,Dactylopsila trivirgata angustivittis
Dactylopsila arfakensis,Dactylopsila trivirgata arfakensis
Dactylopsila biedermanni,Dactylopsila trivirgata biedermanni
Dactylopsila hindenburgi,Dactylopsila trivirgata hindenburgi
Dactylopsila kataui,Dactylopsila trivirgata kataui
Dactylopsila melampus,Dactylopsila trivirgata melampus
Dactylopsila occidentalis,Dactylopsila trivirgata occidentalis
Dactylopsila picata,Dactylopsila trivirgata picata
Cervus leucaethiops,Dama dama
Cervus platyceros,Dama dama
Cervus leucaethiops,Dama dama leucaethiops
Dama platyceros albus,Dama dama leucaethiops
Dama niger,Dama dama niger
Cervus platyceros,Dama dama platyceros
Dama varius,Dama dama varius
Dama vulgaris,Dama dama vulgaris
Dama dama mesopotica,Dama mesopotamica
Cervus mesopotamicus,Dama mesopotamica
Cervus dama mesopotamiae,Dama mesopotamica mesopotamiae
Damaliscus lunatus korrigum,Damaliscus korrigum
Damaliscus lunatus eurus,Damaliscus korrigum eurus
Damaliscus lunatus floweri,Damaliscus korrigum floweri
Damaliscus lunatus jumela,Damaliscus korrigum jimela
Damaliscus lunatus jimela,Damaliscus korrigum jimela
Damaliscus lunatus jonesi,Damaliscus korrigum jonesi
Damaliscus lunatus lyra,Damaliscus korrigum lyra
Damaliscus lunatus phalius,Damaliscus korrigum phalius
Damaliscus phallus,Damaliscus korrigum phalius
Damaliscus lunatus purpurescens,Damaliscus korrigum purpurescens
Damaliscus lunatus selousi,Damaliscus korrigum selousi
Damaliscus lunatus tiang,Damaliscus korrigum tiang
Damalis tiang-riel,Damaliscus korrigum tiangriel
Damaliscus lunatus topi,Damaliscus korrigum topi
Damaliscus lunatus ugandae,Damaliscus korrigum ugandae
Damaliscus lunatus reclines,Damaliscus lunatus reclinis
Damaliscus Senegalensis,Damaliscus lunatus senegalensis
Antilope grisea,Damaliscus pygargus
Antilope personata,Damaliscus pygargus
Damaliscus albifrons,Damaliscus pygargus albifrons
Damaliscus dorcas,Damaliscus pygargus dorcas
Damaliscus dorcas phillipsi,Damaliscus pygargus phillipsi
Damaliscus dorcas dorcas,Damaliscus pygargus pygargus
Damaliscus lanatus superstes,Damaliscus superstes
Chaetocercus cristicauda,Dasycercus cristicauda
Dasycercus blighi,Dasycercus cristicauda blighi
Dasycercus blythi,Dasycercus cristicauda blythi
Dasycercus hillieri,Dasycercus cristicauda hillieri
Parantechinus rosamondae,Dasykaluta rosamondae
Dasymys incomtus alleni,Dasymys alleni
Dasymys shortridgei,Dasymys cabrali
Dasymys incomtus capensis,Dasymys capensis
Dasymys incomtus foxi,Dasymys foxi
Dasymys incomtus griseifrons,Dasymys griseifrons
Grammomys incomtus ?,Dasymys incomtus
Mus incomtus,Dasymys incomtus
Dasymys bentleyae,Dasymys incomtus bentleyae
Mus bentleyae,Dasymys incomtus bentleyae
Dasymys nudipes edsoni,Dasymys incomtus edsoni
Dasymys fuscus,Dasymys incomtus fuscus
Dasymys gueinzii,Dasymys incomtus gueinzii
Dasymys helukus helukus,Dasymys incomtus helukus
Dasymys helukus nigridius,Dasymys incomtus nigridius
Dasymys niloticus,Dasymys incomtus niloticus
Dasymys orthos,Dasymys incomtus orthos
Dasymys helukus savannus,Dasymys incomtus savannus
Dasymys shawi,Dasymys incomtus shawi
Dasymys rufulus longipilosus,Dasymys longipilosus
Dasymys incomtus medius,Dasymys medius
Dasymys incomtus montanus,Dasymys montanus
Dasymys incomtus nudipes,Dasymys nudipes
Dasymys incomtus rufulus,Dasymys rufulus
Dasyprocta aurea,Dasyprocta azarae aurea
Dasyprocta caudata,Dasyprocta azarae caudata
Dasyprocta felicia,Dasyprocta azarae felicia
Dasyprocta paraguayensis,Dasyprocta azarae paraguayensis
Dasyprocta punctata coibae,Dasyprocta coibae
Dasyprocta nigricans,Dasyprocta fuliginosa nigricans
Dasyprocta aguti,Dasyprocta leporina aguti
Dasyprocta albida,Dasyprocta leporina albida
Dasyprocta antillensis,Dasyprocta leporina antillensis
Dasyprocta aguti cayana,Dasyprocta leporina cayana
Dasyprocta lucifer cayennae,Dasyprocta leporina cayennae
Dasyprocta croconota,Dasyprocta leporina croconota
Dasyprocta rubrata flavescens,Dasyprocta leporina flavescens
Dasyprocta fulvus,Dasyprocta leporina fulvus
Dasyprocta lucifer,Dasyprocta leporina lucifer
Dasyprocta croconota lucifer,Dasyprocta leporina lucifer
Dasyprocta aguti lunaris,Dasyprocta leporina lunaris
Dasyprocta aguti maraxica,Dasyprocta leporina maraxica
Dasyprocta aguti noblei,Dasyprocta leporina noblei
Dasyprocta rubrata,Dasyprocta leporina rubrata
Dasyprocta nigriclunis,Dasyprocta prymnolopha nigriclunis
Dasyprocta variegata boliviae,Dasyprocta punctata boliviae
Dasyprocta callida,Dasyprocta punctata callida
Dasyprocta variegata chocoensis,Dasyprocta punctata chocoensis
Dasyprocta variegata colombiana,Dasyprocta punctata columbiana
Dasyprocta isthmica,Dasyprocta punctata isthmica
Dasyprocta pandora,Dasyprocta punctata pandora
Dasyprocta variegata urucuma,Dasyprocta punctata urucuma
Dasyprocta variegata,Dasyprocta punctata variegata
Dasyprocta variegata yungarum,Dasyprocta punctata yungarum
Dasyprocta variegata zamorae,Dasyprocta punctata zamorae
Tatu hybridus,Dasypus hybridus
Dasypus auritus,Dasypus hybridus auritus
Dasypus brevicauda,Dasypus hybridus brevicauda
Praopus kappleri,Dasypus kappleri
Dasypus peba,Dasypus kappleri kappleri
Dasypus pastasae,Dasypus kappleri pastasae
Dasypus pentadactylus,Dasypus kappleri pentadactylus
Tatus pentadactylus,Dasypus kappleri pentadactylus
Dasypus peruvianus,Dasypus kappleri peruvianus
Tatusia boliviensis,Dasypus novemcinctus boliviensis
Tatusia brevirostris,Dasypus novemcinctus brevirostris
Dasypus cucurbitinus,Dasypus novemcinctus cucurbitinus
Dasypus fenestratus,Dasypus novemcinctus fenestratus
Tatusia granadiana,Dasypus novemcinctus granadiana
Tatusia lepthocephala,Dasypus novemcinctus leptocephala
Tatusia leptorhinus,Dasypus novemcinctus leptorhynchus
Dasypus longicaudus,Dasypus novemcinctus longicaudus
