taxon_id, spp_id, source_id, scientific_name, common_name, order_name, family_name
bird,falstd1,ebird,Tachyeres brachypterus,Falkland Steamer-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whhstd1,ebird,Tachyeres leucocephalus,White-headed Steamer-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,creduc1,ebird,Lophonetta specularioides,Crested Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,speduc2,ebird,Speculanas specularis,Spectacled Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,musduc,ebird,Cairina moschata,Muscovy Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whwduc1,ebird,Cairina scutulata,White-winged Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,grnpyg1,ebird,Nettapus pulchellus,Green Pygmy-Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,copgoo1,ebird,Nettapus coromandelianus,Cotton Pygmy-Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,afrpyg1,ebird,Nettapus auritus,African Pygmy-Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rintea1,ebird,Callonetta leucophrys,Ringed Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,wooduc,ebird,Aix sponsa,Wood Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,manduc,ebird,Aix galericulata,Mandarin Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,manduc1,ebird,Chenonetta jubata,Maned Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bratea1,ebird,Amazonetta brasiliensis,Brazilian Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bluduc1,ebird,Hymenolaimus malacorhynchos,Blue Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,torduc1,ebird,Merganetta armata,Torrent Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,saltea1,ebird,Salvadorina waigiuensis,Salvadori's Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,afbduc1,ebird,Anas sparsa,African Black Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gadwal,ebird,Anas strepera,Gadwall,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,falduc,ebird,Anas falcata,Falcated Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,eurwig,ebird,Anas penelope,Eurasian Wigeon,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,amewig,ebird,Anas americana,American Wigeon,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,chiwig1,ebird,Anas sibilatrix,Chiloe Wigeon,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,ambduc,ebird,Anas rubripes,American Black Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,yebduc1,ebird,Anas undulata,Yellow-billed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
