site,genus,sp,subsp,common name,source
DSNY,Haliaeetus,leucocephalus,,bald eagle,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,Picoides,borealis,,red-cockaded woodpecker,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,Aphelocoma,coerulescens,,Florida scrub-jay,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,Mycteria,americana,,wood stork,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,Grus,canadensis,,sandhill crane,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,Circus,cyaneus,,northern harrier,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,Caracara,cheriway,,crested caracara,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
