site,genus,sp,subsp,common_name,source
JERC,Sciurus,carolinensis,,gray squirrel,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Peromyscus,gossypinus,,cotton mouse,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Dasypus,novemcinctus,,nine-banded armadillo,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Odocoileus,virginiana,,,http://www.mendeley.com/c/4974603722/g/2058663/howze-2009-predator-removal-and-white-tailed-deer-recruitment-in-southwestern-georgia/
JERC,Sylvilagus,,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Canis,latrans,,,http://www.mendeley.com/c/4974603722/g/2058663/howze-2009-predator-removal-and-white-tailed-deer-recruitment-in-southwestern-georgia/
JERC,Nycticeius,humeralis,,Evening bat,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Urocyon,cinereoargenteus,,gray fox,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Blarina,carolinensis,,Southern short-tailed shrew,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Cryptotis,parva,,least shrew,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Castor,canadensis,,beaver,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Geomys,pinetis,,Southeastern pocket gopher,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Glaucomys,volans,,Southern flying squirrel,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Microtus,pinetorum,,pine vole,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Mus,musculus ,,house mouse,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Neotoma,floridana,,Eastern woodrat,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
JERC,Ochrytomys,nuttalli,,golden mouse,http://www.mendeley.com/research/vertebrate-fauna-ichauway-baker-county-ga/
